row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_min,NDVI_max,NDVI_mean,NDVI_count,Year,Location,Pedigree,Rep,Block,MOplot
1,1,2021_MOH2_ALL,1,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,1,"POLYGON ((556140.5772519762 4309084.158676424, 556140.0459469801 4309078.085873897, 556138.52774756 4309078.218700269, 556139.0590525537 4309084.291502794, 556140.5772519762 4309084.158676424))",0.07025383412837982,0.7723027467727661,0.21278839954885612,22249,2021,MOH2,Fill/HB,-1,-1,1
2,1,2021_MOH2_ALL,2,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,2,"POLYGON ((556139.0590525537 4309084.291502794, 556138.52774756 4309078.218700269, 556137.0095481386 4309078.351526641, 556137.5408531332 4309084.424329167, 556139.0590525537 4309084.291502794))",0.07402630150318146,0.8079906702041626,0.2762659549820265,22255,2021,MOH2,Fill/HB,-1,-1,2
3,1,2021_MOH2_ALL,3,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,3,"POLYGON ((556137.490498875 4309084.428734589, 556136.9591938423 4309078.355932066, 556135.4409944214 4309078.4887584485, 556135.9722994552 4309084.561560971, 556137.490498875 4309084.428734589))",0.08109626173973083,0.827488124370575,0.32660624410191885,22253,2021,MOH2,Fill/HB,-1,-1,3
4,1,2021_MOH2_ALL,4,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,4,"POLYGON ((556135.9722994552 4309084.561560971, 556135.4409944214 4309078.4887584485, 556133.9227950005 4309078.621584831, 556134.4541000362 4309084.694387354, 556135.9722994552 4309084.561560971))",0.07722021639347076,0.8507100939750671,0.3572522536597834,22252,2021,MOH2,Fill/HB,-1,-1,4
5,1,2021_MOH2_ALL,5,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,5,"POLYGON ((556134.2821911996 4309084.709427364, 556133.7508860345 4309078.636624857, 556132.232686623 4309078.769451272, 556132.7639917858 4309084.84225378, 556134.2821911996 4309084.709427364))",0.07828440517187119,0.855650007724762,0.2996765827931197,22252,2021,MOH2,Fill/HB,-1,-1,5
6,1,2021_MOH2_ALL,6,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,6,"POLYGON ((556132.7639917858 4309084.84225378, 556132.232686623 4309078.769451272, 556130.714487208 4309078.902277687, 556131.2457923729 4309084.975080195, 556132.7639917858 4309084.84225378))",0.08581496775150299,0.8510038256645203,0.26947257110635475,22251,2021,MOH2,Fill/HB,-1,-1,6
7,1,2021_MOH2_ALL,7,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,7,"POLYGON ((556131.0929900479 4309084.764483792, 556130.5616847487 4309078.691681297, 556129.0434852976 4309078.824507741, 556129.5747905975 4309084.897310236, 556131.0929900479 4309084.764483792))",0.09778463840484619,0.8007835745811462,0.2511468783703321,22253,2021,MOH2,W10004_0290/PHK76,1,1,7
8,1,2021_MOH2_ALL,8,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,8,"POLYGON ((556129.5747905975 4309084.897310236, 556129.0434852976 4309078.824507741, 556127.5252858473 4309078.957334186, 556128.0565911471 4309085.030136682, 556129.5747905975 4309084.897310236))",0.0668807253241539,0.7723170518875122,0.19508790905567538,22254,2021,MOH2,W10004_0498/PHK76,1,1,8
9,1,2021_MOH2_ALL,9,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,9,"POLYGON ((556127.9225008165 4309085.37389456, 556127.3911954447 4309079.301092071, 556125.8729960617 4309079.433918543, 556126.4043014344 4309085.506721032, 556127.9225008165 4309085.37389456))",0.058774981647729874,0.8601459264755249,0.20324089384211827,22254,2021,MOH2,Fill/HB,-1,-1,9
10,1,2021_MOH2_ALL,10,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,10,"POLYGON ((556126.4246244816 4309085.4425099, 556125.8933191189 4309079.369707409, 556124.3751197242 4309079.502533876, 556124.9064250856 4309085.575336366, 556126.4246244816 4309085.4425099))",0.0642167404294014,0.755379855632782,0.1844063084647063,22249,2021,MOH2,Fill/HB,-1,-1,10
