row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_HUE_masked_min,NDVI_HUE_masked_max,NDVI_HUE_masked_mean,NDVI_HUE_masked_count,Year,Location,Pedigree,Rep,Block,MOplot
1,1,2021_MOH2_ALL,1,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,1,"POLYGON ((556140.5772519762 4309084.158676424, 556140.0459469801 4309078.085873897, 556138.52774756 4309078.218700269, 556139.0590525537 4309084.291502794, 556140.5772519762 4309084.158676424))",0.2326761931180954,0.7723027467727661,0.5352974968987543,1480,2021,MOH2,Fill/HB,-1,-1,1
2,1,2021_MOH2_ALL,2,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,2,"POLYGON ((556139.0590525537 4309084.291502794, 556138.52774756 4309078.218700269, 556137.0095481386 4309078.351526641, 556137.5408531332 4309084.424329167, 556139.0590525537 4309084.291502794))",0.2773813009262085,0.8079906702041626,0.5808434988032876,3460,2021,MOH2,Fill/HB,-1,-1,2
3,1,2021_MOH2_ALL,3,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,3,"POLYGON ((556137.490498875 4309084.428734589, 556136.9591938423 4309078.355932066, 556135.4409944214 4309078.4887584485, 556135.9722994552 4309084.561560971, 556137.490498875 4309084.428734589))",0.21139724552631378,0.827488124370575,0.6185228898742228,5307,2021,MOH2,Fill/HB,-1,-1,3
4,1,2021_MOH2_ALL,4,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,4,"POLYGON ((556135.9722994552 4309084.561560971, 556135.4409944214 4309078.4887584485, 556133.9227950005 4309078.621584831, 556134.4541000362 4309084.694387354, 556135.9722994552 4309084.561560971))",0.2008511871099472,0.8507100939750671,0.6191043633047092,6827,2021,MOH2,Fill/HB,-1,-1,4
5,1,2021_MOH2_ALL,5,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,5,"POLYGON ((556134.2821911996 4309084.709427364, 556133.7508860345 4309078.636624857, 556132.232686623 4309078.769451272, 556132.7639917858 4309084.84225378, 556134.2821911996 4309084.709427364))",0.21736396849155426,0.855650007724762,0.6019104402178069,4904,2021,MOH2,Fill/HB,-1,-1,5
6,1,2021_MOH2_ALL,6,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,6,"POLYGON ((556132.7639917858 4309084.84225378, 556132.232686623 4309078.769451272, 556130.714487208 4309078.902277687, 556131.2457923729 4309084.975080195, 556132.7639917858 4309084.84225378))",0.22610336542129517,0.8510038256645203,0.5946459089006696,3584,2021,MOH2,Fill/HB,-1,-1,6
7,1,2021_MOH2_ALL,7,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,7,"POLYGON ((556131.0929900479 4309084.764483792, 556130.5616847487 4309078.691681297, 556129.0434852976 4309078.824507741, 556129.5747905975 4309084.897310236, 556131.0929900479 4309084.764483792))",0.28749123215675354,0.8007835745811462,0.5856380715320668,2793,2021,MOH2,W10004_0290/PHK76,1,1,7
8,1,2021_MOH2_ALL,8,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,8,"POLYGON ((556129.5747905975 4309084.897310236, 556129.0434852976 4309078.824507741, 556127.5252858473 4309078.957334186, 556128.0565911471 4309085.030136682, 556129.5747905975 4309084.897310236))",0.27128297090530396,0.7723170518875122,0.5470297336578369,1024,2021,MOH2,W10004_0498/PHK76,1,1,8
9,1,2021_MOH2_ALL,9,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,9,"POLYGON ((556127.9225008165 4309085.37389456, 556127.3911954447 4309079.301092071, 556125.8729960617 4309079.433918543, 556126.4043014344 4309085.506721032, 556127.9225008165 4309085.37389456))",0.2744249999523163,0.8601459264755249,0.5850870818525958,1618,2021,MOH2,Fill/HB,-1,-1,9
10,1,2021_MOH2_ALL,10,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,10,"POLYGON ((556126.4246244816 4309085.4425099, 556125.8933191189 4309079.369707409, 556124.3751197242 4309079.502533876, 556124.9064250856 4309085.575336366, 556126.4246244816 4309085.4425099))",0.28777721524238586,0.755379855632782,0.5045702192518446,720,2021,MOH2,Fill/HB,-1,-1,10
11,1,2021_MOH2_ALL,11,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,11,"POLYGON ((556124.7888121558 4309085.4515734315, 556124.2575066935 4309079.378770952, 556122.7393072774 4309079.511597442, 556123.2706127416 4309085.584399923, 556124.7888121558 4309085.4515734315))",0.2896865904331207,0.8134071230888367,0.6161240185890309,2417,2021,MOH2,W10004_0884/PHK76,1,2,11
12,1,2021_MOH2_ALL,12,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,12,"POLYGON ((556123.2706127416 4309085.584399923, 556122.7393072774 4309079.511597442, 556121.221107861 4309079.644423931, 556121.752413324 4309085.717226411, 556123.2706127416 4309085.584399923))",0.26319441199302673,0.8273785710334778,0.6094372807716837,2695,2021,MOH2,W10004_0037/PHK76,1,2,12
13,1,2021_MOH2_ALL,13,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,13,"POLYGON ((556121.5754672067 4309085.868012808, 556121.0441616209 4309079.795210341, 556119.525962238 4309079.928036865, 556120.0572678235 4309086.000839332, 556121.5754672067 4309085.868012808))",0.3015897274017334,0.838263213634491,0.6352856498813002,5476,2021,MOH2,Fill/HB,-1,-1,13
14,1,2021_MOH2_ALL,14,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,14,"POLYGON ((556120.0572678235 4309086.000839332, 556119.525962238 4309079.928036865, 556118.0077628527 4309080.060863388, 556118.5390684402 4309086.133665854, 556120.0572678235 4309086.000839332))",0.2595025599002838,0.8708634376525879,0.6266939247440998,5593,2021,MOH2,Fill/HB,-1,-1,14
15,1,2021_MOH2_ALL,15,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,15,"POLYGON ((556118.5221353046 4309086.08121493, 556117.9908297008 4309080.008412465, 556116.4726303056 4309080.14123899, 556117.0039359115 4309086.2140414575, 556118.5221353046 4309086.08121493))",0.29679074883461,0.8844561576843262,0.6602740799011829,8665,2021,MOH2,W10004_0065/PHK76,1,2,15
16,1,2021_MOH2_ALL,16,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,16,"POLYGON ((556114.9987311361 4309080.500844717, 556115.397869664 4309085.0629821, 556116.9160693027 4309084.930155557, 556116.515909143 4309080.356340983, 556114.9987311361 4309080.500844717))",0.32096052169799805,0.8433283567428589,0.6590158624547575,5733,2021,MOH2,W10004_0103/PHK76,1,2,16
17,1,2021_MOH2_ALL,17,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,17,"POLYGON ((556113.4068927523 4309080.659201647, 556113.7862293099 4309084.995002702, 556115.3044289842 4309084.862176139, 556114.9227206403 4309080.499265677, 556113.4068927523 4309080.659201647))",0.296324223279953,0.8222125768661499,0.6280526575936732,4477,2021,MOH2,Fill/HB,-1,-1,17
