row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_min,NDVI_max,NDVI_mean,NDVI_count,Year,Location,Pedigree,Rep,Block,MOplot
1,1,2021_MOH2_ALL,1,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,1,"POLYGON ((556140.9293980649 4309084.050718955, 556140.3980933294 4309077.977916403, 556138.8798938803 4309078.110742707, 556139.4111986144 4309084.183545259, 556140.9293980649 4309084.050718955))",0.1424742043018341,0.9164778590202332,0.44749219052367334,23254,2021,MOH2,Fill/HB,-1,-1,1
2,1,2021_MOH2_ALL,2,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,2,"POLYGON ((556139.4111986144 4309084.183545259, 556138.8798938803 4309078.110742707, 556137.3616944312 4309078.243569012, 556137.8929991662 4309084.316371564, 556139.4111986144 4309084.183545259))",0.16556663811206818,0.9036579728126526,0.5183642708288546,23258,2021,MOH2,Fill/HB,-1,-1,2
3,1,2021_MOH2_ALL,3,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,3,"POLYGON ((556137.8426449071 4309084.320776983, 556137.3113401339 4309078.247974436, 556135.7931406863 4309078.380800751, 556136.3244454593 4309084.453603298, 556137.8426449071 4309084.320776983))",0.14820496737957,0.9222248196601868,0.5523864874688266,23257,2021,MOH2,Fill/HB,-1,-1,3
4,1,2021_MOH2_ALL,4,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,4,"POLYGON ((556136.3244454593 4309084.453603298, 556135.7931406863 4309078.380800751, 556134.2749412376 4309078.513627065, 556134.8062460115 4309084.586429614, 556136.3244454593 4309084.453603298))",0.18631140887737274,0.9350780844688416,0.5637243357325621,23254,2021,MOH2,Fill/HB,-1,-1,4
5,1,2021_MOH2_ALL,5,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,5,"POLYGON ((556134.6343371728 4309084.601469616, 556134.1030322685 4309078.528667082, 556132.584832828 4309078.661493431, 556133.1161377311 4309084.734295964, 556134.6343371728 4309084.601469616))",0.18998342752456665,0.9147152304649353,0.5702098387517198,23258,2021,MOH2,Fill/HB,-1,-1,5
6,1,2021_MOH2_ALL,6,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,6,"POLYGON ((556133.1161377311 4309084.734295964, 556132.584832828 4309078.661493431, 556131.0666333864 4309078.794319778, 556131.5979382894 4309084.867122313, 556133.1161377311 4309084.734295964))",0.1870776116847992,0.9132988452911377,0.5251943466458826,23255,2021,MOH2,Fill/HB,-1,-1,6
7,1,2021_MOH2_ALL,7,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,7,"POLYGON ((556131.4451359726 4309084.6565259015, 556130.9138309341 4309078.583723382, 556129.3956314551 4309078.716549759, 556129.9269364944 4309084.789352279, 556131.4451359726 4309084.6565259015))",0.16679300367832184,0.9093177914619446,0.4806290886782919,23254,2021,MOH2,W10004_0290/PHK76,1,1,7
8,1,2021_MOH2_ALL,8,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,8,"POLYGON ((556129.9269364944 4309084.789352279, 556129.3956314551 4309078.716549759, 556127.877431977 4309078.8493761355, 556128.408737015 4309084.922178658, 556129.9269364944 4309084.789352279))",0.17964109778404236,0.8914872407913208,0.42372276744442294,23256,2021,MOH2,W10004_0498/PHK76,1,1,8
9,1,2021_MOH2_ALL,9,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,9,"POLYGON ((556128.3431668261 4309085.196673294, 556127.8118617606 4309079.123870774, 556126.2936623362 4309079.256697165, 556126.8249674016 4309085.329499683, 556128.3431668261 4309085.196673294))",0.12565018236637115,0.9116413593292236,0.4754645810489766,23256,2021,MOH2,Fill/HB,-1,-1,9
10,1,2021_MOH2_ALL,10,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,10,"POLYGON ((556126.8249674016 4309085.329499683, 556126.2936623362 4309079.256697165, 556124.7754629106 4309079.389523555, 556125.3067679758 4309085.462326071, 556126.8249674016 4309085.329499683))",0.15035317838191986,0.9139933586120605,0.5021555083197179,23258,2021,MOH2,Fill/HB,-1,-1,10
11,1,2021_MOH2_ALL,11,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,11,"POLYGON ((556125.2614506861 4309085.33098494, 556124.730145576 4309079.258182425, 556123.2119461271 4309079.391008824, 556123.7432512393 4309085.463811339, 556125.2614506861 4309085.33098494))",0.14235013723373413,0.9099404811859131,0.47562885686333534,23254,2021,MOH2,W10004_0884/PHK76,1,2,11
12,1,2021_MOH2_ALL,12,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,12,"POLYGON ((556123.7432512393 4309085.463811339, 556123.2119461271 4309079.391008824, 556121.6937466781 4309079.523835222, 556122.225051789 4309085.596637737, 556123.7432512393 4309085.463811339))",0.15300911664962769,0.9154215455055237,0.43771813338277016,23262,2021,MOH2,W10004_0037/PHK76,1,2,12
13,1,2021_MOH2_ALL,13,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,13,"POLYGON ((556122.0481056598 4309085.747424124, 556121.5168004262 4309079.674621622, 556119.9986010105 4309079.807448055, 556120.5299062439 4309085.880250556, 556122.0481056598 4309085.747424124))",0.11783675104379654,0.898634135723114,0.46336187782197374,23255,2021,MOH2,Fill/HB,-1,-1,13
14,1,2021_MOH2_ALL,14,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,14,"POLYGON ((556120.5299062439 4309085.880250556, 556119.9986010105 4309079.807448055, 556118.4804015926 4309079.940274486, 556119.0117068279 4309086.013076989, 556120.5299062439 4309085.880250556))",0.11173098534345627,0.9181467890739441,0.5031473312666623,23256,2021,MOH2,Fill/HB,-1,-1,14
15,1,2021_MOH2_ALL,15,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,15,"POLYGON ((556118.7894435561 4309086.032522316, 556118.2581381518 4309079.959719831, 556116.7399387431 4309080.092546305, 556117.271244147 4309086.165348792, 556118.7894435561 4309086.032522316))",0.13601961731910706,0.9142244458198547,0.4861046251451363,23254,2021,MOH2,W10004_0065/PHK76,1,2,15
16,1,2021_MOH2_ALL,16,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,16,"POLYGON ((556117.271244147 4309086.165348792, 556116.7399387431 4309080.092546305, 556115.2217393352 4309080.225372781, 556115.7530447379 4309086.298175265, 556117.271244147 4309086.165348792))",0.11791770160198212,0.9061145186424255,0.4832832118593051,23256,2021,MOH2,W10004_0103/PHK76,1,2,16
17,1,2021_MOH2_ALL,17,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,17,"POLYGON ((556115.5752341567 4309086.3137315465, 556115.0439286189 4309080.240929075, 556113.5257292176 4309080.373755585, 556114.057034754 4309086.446558056, 556115.5752341567 4309086.3137315465))",0.12279702723026276,0.9118320941925049,0.5048694585169856,23255,2021,MOH2,Fill/HB,-1,-1,17
18,1,2021_MOH2_ALL,18,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,18,"POLYGON ((556114.057034754 4309086.446558056, 556113.5257292176 4309080.373755585, 556112.0075298148 4309080.5065820925, 556112.5388353532 4309086.579384563, 556114.057034754 4309086.446558056))",0.11623319983482361,0.8947604894638062,0.44344311035261236,23255,2021,MOH2,Fill/HB,-1,-1,18
19,1,2021_MOH2_ALL,19,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,19,"POLYGON ((556112.36102481 4309086.594940787, 556111.8297191366 4309080.522138332, 556110.3115197425 4309080.654964873, 556110.8428254146 4309086.7277673315, 556112.36102481 4309086.594940787))",0.09768705815076828,0.9017942547798157,0.37122849026410265,23258,2021,MOH2,W10004_1007/PHK76,1,2,19
20,1,2021_MOH2_ALL,20,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,20,"POLYGON ((556110.8428254146 4309086.7277673315, 556110.3115197425 4309080.654964873, 556108.793320346 4309080.787791417, 556109.3246260191 4309086.860593875, 556110.8428254146 4309086.7277673315))",0.10613469779491425,0.9230840802192688,0.41959162267781885,23254,2021,MOH2,W10004_0168/PHK76,1,2,20
21,1,2021_MOH2_ALL,21,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,21,"POLYGON ((556109.1468153985 4309086.876150137, 556108.6155095905 4309080.803347693, 556107.0973102027 4309080.936174269, 556107.6286160116 4309087.008976714, 556109.1468153985 4309086.876150137))",0.11624842882156372,0.8934558033943176,0.48189065523543323,23255,2021,MOH2,Fill/HB,-1,-1,21
