row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_HUE_masked_min,NDVI_HUE_masked_max,NDVI_HUE_masked_mean,NDVI_HUE_masked_count,Year,Location,Pedigree,Rep,Block,MOplot
1,1,2021_MOH2_ALL,1,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,1,"POLYGON ((556140.9293980649 4309084.050718955, 556140.3980933294 4309077.977916403, 556138.8798938803 4309078.110742707, 556139.4111986144 4309084.183545259, 556140.9293980649 4309084.050718955))",0.4227495789527893,0.9105008840560913,0.7419956127718822,4747,2021,MOH2,Fill/HB,-1,-1,1
2,1,2021_MOH2_ALL,2,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,2,"POLYGON ((556139.4111986144 4309084.183545259, 556138.8798938803 4309078.110742707, 556137.3616944312 4309078.243569012, 556137.8929991662 4309084.316371564, 556139.4111986144 4309084.183545259))",0.4205029308795929,0.9008119702339172,0.7565913929726275,6649,2021,MOH2,Fill/HB,-1,-1,2
3,1,2021_MOH2_ALL,3,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,3,"POLYGON ((556137.8426449071 4309084.320776983, 556137.3113401339 4309078.247974436, 556135.7931406863 4309078.380800751, 556136.3244454593 4309084.453603298, 556137.8426449071 4309084.320776983))",0.4355149269104004,0.9156944751739502,0.7670679271594467,7664,2021,MOH2,Fill/HB,-1,-1,3
4,1,2021_MOH2_ALL,4,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,4,"POLYGON ((556136.3244454593 4309084.453603298, 556135.7931406863 4309078.380800751, 556134.2749412376 4309078.513627065, 556134.8062460115 4309084.586429614, 556136.3244454593 4309084.453603298))",0.4149160087108612,0.9340779185295105,0.7842702619045695,7736,2021,MOH2,Fill/HB,-1,-1,4
5,1,2021_MOH2_ALL,5,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,5,"POLYGON ((556134.6343371728 4309084.601469616, 556134.1030322685 4309078.528667082, 556132.584832828 4309078.661493431, 556133.1161377311 4309084.734295964, 556134.6343371728 4309084.601469616))",0.4415881037712097,0.912240743637085,0.7725177519809037,8156,2021,MOH2,Fill/HB,-1,-1,5
6,1,2021_MOH2_ALL,6,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,6,"POLYGON ((556133.1161377311 4309084.734295964, 556132.584832828 4309078.661493431, 556131.0666333864 4309078.794319778, 556131.5979382894 4309084.867122313, 556133.1161377311 4309084.734295964))",0.42898330092430115,0.9132988452911377,0.7553262278909542,7357,2021,MOH2,Fill/HB,-1,-1,6
7,1,2021_MOH2_ALL,7,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,7,"POLYGON ((556131.4451359726 4309084.6565259015, 556130.9138309341 4309078.583723382, 556129.3956314551 4309078.716549759, 556129.9269364944 4309084.789352279, 556131.4451359726 4309084.6565259015))",0.4034242630004883,0.9093177914619446,0.7374528749775261,5562,2021,MOH2,W10004_0290/PHK76,1,1,7
8,1,2021_MOH2_ALL,8,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,8,"POLYGON ((556129.9269364944 4309084.789352279, 556129.3956314551 4309078.716549759, 556127.877431977 4309078.8493761355, 556128.408737015 4309084.922178658, 556129.9269364944 4309084.789352279))",0.40471071004867554,0.883645236492157,0.7386008999196517,4006,2021,MOH2,W10004_0498/PHK76,1,1,8
9,1,2021_MOH2_ALL,9,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,9,"POLYGON ((556128.3431668261 4309085.196673294, 556127.8118617606 4309079.123870774, 556126.2936623362 4309079.256697165, 556126.8249674016 4309085.329499683, 556128.3431668261 4309085.196673294))",0.39948010444641113,0.910433292388916,0.75400390625,5940,2021,MOH2,Fill/HB,-1,-1,9
10,1,2021_MOH2_ALL,10,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,10,"POLYGON ((556126.8249674016 4309085.329499683, 556126.2936623362 4309079.256697165, 556124.7754629106 4309079.389523555, 556125.3067679758 4309085.462326071, 556126.8249674016 4309085.329499683))",0.41204774379730225,0.9074631333351135,0.7563302816559587,7082,2021,MOH2,Fill/HB,-1,-1,10
