row,range,experiment,plot,plotLength,plotLeng_1,rowSpacing,rowSpaci_1,alleyLengt,alleyLen_1,rowsPerPlo,uniqueID,geometry,NDVI_min,NDVI_max,NDVI_mean,NDVI_count,Year,Location,Pedigree,Rep,Block,MOplot
1,1,2021_MOH2_ALL,1,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,1,"POLYGON ((556140.8185610364 4309084.164322127, 556140.2872562258 4309078.091519582, 556138.7690568019 4309078.224345908, 556139.30036161 4309084.297148452, 556140.8185610364 4309084.164322127))",0.09527101367712021,0.404859334230423,0.2394954489131278,22559,2021,MOH2,Fill/HB,-1,-1,1
2,1,2021_MOH2_ALL,2,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,2,"POLYGON ((556139.30036161 4309084.297148452, 556138.7690568019 4309078.224345908, 556137.2508573767 4309078.357172233, 556137.7821621858 4309084.429974778, 556139.30036161 4309084.297148452))",0.060645606368780136,0.5354052782058716,0.24161164845135194,22560,2021,MOH2,Fill/HB,-1,-1,2
3,1,2021_MOH2_ALL,3,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,3,"POLYGON ((556137.7318079275 4309084.434380197, 556137.2005030802 4309078.361577658, 556135.6823036557 4309078.494403995, 556136.2136085038 4309084.567206533, 556137.7318079275 4309084.434380197))",0.08257221430540085,0.5527844429016113,0.25267547129887186,22559,2021,MOH2,Fill/HB,-1,-1,3
4,1,2021_MOH2_ALL,4,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,4,"POLYGON ((556136.2136085038 4309084.567206533, 556135.6823036557 4309078.494403995, 556134.1641042308 4309078.62723033, 556134.6954090799 4309084.70003287, 556136.2136085038 4309084.567206533))",0.08486989885568619,0.5722757577896118,0.268622806176024,22558,2021,MOH2,Fill/HB,-1,-1,4
5,1,2021_MOH2_ALL,5,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,5,"POLYGON ((556134.523500244 4309084.715072875, 556133.9921952643 4309078.642270347, 556132.473995848 4309078.775096717, 556133.0053008264 4309084.847899243, 556134.523500244 4309084.715072875))",0.018120594322681427,0.5535976886749268,0.270021609226771,22558,2021,MOH2,Fill/HB,-1,-1,5
6,1,2021_MOH2_ALL,6,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,6,"POLYGON ((556133.0053008264 4309084.847899243, 556132.473995848 4309078.775096717, 556130.9557964305 4309078.907923086, 556131.4871014085 4309084.9807256125, 556133.0053008264 4309084.847899243))",0.08052664995193481,0.6513251066207886,0.26267968369020706,22557,2021,MOH2,Fill/HB,-1,-1,6
7,1,2021_MOH2_ALL,7,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,7,"POLYGON ((556131.334299091 4309084.770129205, 556130.8029939776 4309078.697326692, 556129.2847945224 4309078.830153089, 556129.816099637 4309084.902955604, 556131.334299091 4309084.770129205))",0.05524386838078499,0.4847833514213562,0.25034234667302063,22558,2021,MOH2,W10004_0290/PHK76,1,1,7
8,1,2021_MOH2_ALL,8,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,8,"POLYGON ((556129.816099637 4309084.902955604, 556129.2847945224 4309078.830153089, 556127.7665950684 4309078.962979488, 556128.2979001815 4309085.035782004, 556129.816099637 4309084.902955604))",0.08529084175825119,0.5484582781791687,0.24769274717823264,22559,2021,MOH2,W10004_0498/PHK76,1,1,8
9,1,2021_MOH2_ALL,9,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,9,"POLYGON ((556128.1638098416 4309085.379539878, 556127.6325046542 4309079.30673737, 556126.1143052676 4309079.439563794, 556126.6456104546 4309085.512366301, 556128.1638098416 4309085.379539878))",0.10245592147111893,0.5698654055595398,0.2523442608359562,22558,2021,MOH2,Fill/HB,-1,-1,9
10,1,2021_MOH2_ALL,10,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,10,"POLYGON ((556126.6659335048 4309085.448155171, 556126.1346283278 4309079.375352663, 556124.6164289293 4309079.508179083, 556125.147734105 4309085.580981591, 556126.6659335048 4309085.448155171))",0.08669516444206238,0.5945402979850769,0.2559442003122368,22559,2021,MOH2,Fill/HB,-1,-1,10
11,1,2021_MOH2_ALL,11,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,11,"POLYGON ((556125.0301211791 4309085.457218654, 556124.4988159023 4309079.384416156, 556122.9806164823 4309079.5172426, 556123.5119217611 4309085.590045097, 556125.0301211791 4309085.457218654))",0.08118226379156113,0.7570387721061707,0.2586596218636404,22558,2021,MOH2,W10004_0884/PHK76,1,2,11
12,1,2021_MOH2_ALL,12,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,12,"POLYGON ((556123.5119217611 4309085.590045097, 556122.9806164823 4309079.5172426, 556121.4624170611 4309079.650069041, 556121.9937223396 4309085.722871538, 556123.5119217611 4309085.590045097))",0.09109596908092499,0.7467787265777588,0.23028695121005274,22561,2021,MOH2,W10004_0037/PHK76,1,2,12
13,1,2021_MOH2_ALL,13,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,13,"POLYGON ((556121.8167762177 4309085.8736579325, 556121.2854708164 4309079.800855447, 556119.7672714308 4309079.933681923, 556120.2985768307 4309086.006484409, 556121.8167762177 4309085.8736579325))",0.09641245007514954,0.6435300707817078,0.25323692745501086,22561,2021,MOH2,Fill/HB,-1,-1,13
14,1,2021_MOH2_ALL,14,20,6.09599999073408,30,0.76200000077724,42,1.066800001088136,2,14,"POLYGON ((556120.2985768307 4309086.006484409, 556119.7672714308 4309079.933681923, 556118.2490720417 4309080.066508399, 556118.7803774436 4309086.139310885, 556120.2985768307 4309086.006484409))",0.11339662969112396,0.6013334393501282,0.2604487511223065,22554,2021,MOH2,Fill/HB,-1,-1,14
