"","PlotID","Python_Height","X","LAI","FieldImageR_Height","BI","GLI","NGRDI","VARI","BGI","NDVI","myIndex.1","myIndex.2","myIndex.3","myIndex.4","myIndex.5","myIndex.6","myIndex.7","myIndex.8","myIndex.9","myIndex.10","myIndex.11","myIndex.12","myIndex.13","myIndex.14","myIndex.15","myIndex.16","Pedigree","Exp_row","Exp_range"
"1",1,0.460281372070312,1,0.636249450480437,0.147555482198097,18273.5523746663,-0.974630900613722,-0.968835974188817,3.67389486747546,100.057474262822,0.294450860466054,-0.999627063897381,-43523.5344016397,-0.978337070414442,-0.974630900613722,-69194.9642521079,-0.968835974188817,-0.999448617650591,-0.999812800701431,-0.980841921897772,0.411135986378479,0.569204354895795,0.582477987587445,0.0109598171233368,-18263.8784646201,0.172487435530653,0.0138299503646986,"Fill/HB",1,1
"2",2,0.645232391357411,2,0.606456475317171,0.147350492216678,18695.0382502547,-0.974873730670168,-0.969563340801229,3.78266059905719,101.569558618044,0.272969549188075,-0.999634370727245,-44658.1644620401,-0.97840455642226,-0.974873730670168,-71378.2622822543,-0.969563340801229,-0.99947129644653,-0.99981646844348,-0.981025945551704,0.416437354009584,0.57668761079732,0.577237961174317,0.0109253454877642,-19012.9270144388,0.161876967156154,0.0136095897635703,"Fill/HB",2,1
"3",3,0.653945922851562,3,0.585424058781047,0.145255022718016,17866.6260637382,-0.973918509272154,-0.968643693038586,3.88545035807838,97.1479552055667,0.277321314376577,-0.999608836000963,-42667.1219887237,-0.977489916977141,-0.973918509272154,-68178.2727645496,-0.968643693038586,-0.999444712672986,-0.999803651012248,-0.980300105820055,0.417586196497704,0.578054043703471,0.575847172108981,0.0113936739356458,-18149.3934113042,0.159342877742596,0.0140863390368401,"Fill/HB",3,1
"4",4,0.802978515625,4,0.578296228844161,0.130671697776999,20571.9697372439,-0.97689136182311,-0.973456891700189,5.9221646153496,108.681811984607,0.202210923945935,-0.999687846889583,-49511.213317757,-0.979432954685997,-0.97689136182311,-80486.5050841121,-0.973456891700189,-0.999589597970037,-0.999843311379869,-0.982556226381608,0.437527744489815,0.606724251079611,0.556657664304054,0.0104021523067395,-22052.3512616822,0.119872619039059,0.0122209789874009,"Fill/HB",4,1
"5",5,0.365192565917965,5,0.555112423062429,0.0379420066436856,20993.0463219649,-0.977525062850832,-0.974489899261131,7.64008119295761,110.189764025629,0.195180663077326,-0.999707239033716,-50571.9452883263,-0.979794528876088,-0.977525062850832,-82493.9229348336,-0.974489899261131,-0.9996243186233,-0.999853045475748,-0.983038113433684,0.442320974510323,0.613595402125681,0.552025063300905,0.0102169921176927,-22728.5554617909,0.11036301671872,0.0118224794062966,"Fill/HB",5,1
"6",6,0.248410034179699,6,0.492683539534007,0.01142903626383,23055.7327268232,-0.979460240124814,-0.976819907330459,7.56675302352469,120.127083121776,0.150539215898109,-0.999754201048679,-55643.9521298932,-0.981446419122396,-0.979460240124814,-91119.1164372696,-0.976819907330459,-0.999686212410032,-0.999876618565611,-0.984506271879647,0.446370571629131,0.619754224240666,0.548464852330751,0.00937338316836665,-25266.5459338403,0.102668416678593,0.010767405582574,"Fill/HB",6,1
"7",7,1.01272583007812,7,0.716425408986718,0.210737802203207,17967.3068008053,-0.973199172877323,-0.96888017808399,5.74258106094729,95.2673748877964,0.290186676235833,-0.999580515576655,-43115.4803770591,-0.976294361162648,-0.973199172877323,-69925.7000699986,-0.96888017808399,-0.999438957704426,-0.99978943526985,-0.979749354027342,0.432832012922479,0.599214602767251,0.560417771753302,0.0120099887538077,-19077.2997806711,0.128503692982756,0.0142721235432906,"W10004_0290/PHK76",7,1
"8",8,1.13284301757812,8,0.715779557230334,0.281249771727337,17744.1478332933,-0.972792452684121,-0.968608800165016,5.45426285660822,94.1341893873086,0.282894596663423,-0.999565778594567,-42583.6219972946,-0.975848204487967,-0.972792452684121,-69053.787182238,-0.968608800165016,-0.999428477502508,-0.999782037882763,-0.979438728567368,0.433959297424064,0.600689259249479,0.559186945431725,0.0122405903372235,-18834.4037035309,0.126127335291935,0.0144532369790865,"W10004_0498/PHK76",8,1
"9",9,1.12922668457031,9,0.605746585021196,0.340668272786711,16543.5977871795,-0.971462371010471,-0.967608363039104,6.50568604943188,87.3368550557478,0.276623209063206,-0.999531858032335,-39722.7807656396,-0.974384281685258,-0.971462371010471,-64614.416582633,-0.967608363039104,-0.999402898077318,-0.99976501109074,-0.978428350348216,0.439253403270609,0.607764214694925,0.553556046845463,0.0129904026565517,-17706.8827264239,0.115150709879732,0.0150635564613343,"Fill/HB",9,1
"10",10,1.1496273803711,10,0.672611384972841,0.418620758726198,16011.9895486555,-0.970485900745183,-0.965988026363333,7.91016414412848,85.406342117999,0.322948940218294,-0.999498026292627,-38343.472513089,-0.973756800268384,-0.970485900745183,-61993.269895288,-0.965988026363333,-0.999343317639483,-0.999748028884142,-0.977684668827457,0.432596410505046,0.598196530982884,0.559965145770773,0.0133134147711797,-16819.8552729993,0.128333652727066,0.0156886141976077,"Fill/HB",10,1
