"","PlotID","Red","Green","Blue","RedEdge","NIR","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"1",1,22484.5059656557,27169.8553189117,32244.3383140054,32753.0191235504,20893.6710526316,27854.903778224,-0.00875793970066817,0.100917155261595,2.41933851848391,1.22031119207823,-0.047746815055655,"Fill/HB",1,1
"2",2,22752.5422144152,26892.5499773345,31515.0778558477,32463.2027425204,20900.0177923844,27554.5531212747,-0.00956790956267624,0.0892187324062136,Inf,1.20474971381111,-0.0509824015924553,"Fill/HB",2,1
"3",3,21901.0820250764,26182.0167527131,31719.9663892108,31958.0889263513,19884.8802022969,27123.7446953318,-0.0166748921412629,0.0947996949791759,1.93447216622623,1.2427019539548,-0.0568283838751295,"Fill/HB",3,1
"4",4,22576.7549116198,26671.8031874819,32005.3365980875,32586.4013909012,20559.5102868734,27614.5132308262,-0.0176465191005158,0.0890062895061152,2.10290118211446,1.23879980548537,-0.0568812844046316,"Fill/HB",4,1
"5",5,22893.4898559078,27292.9854178674,32699.3330259366,33227.2205763689,20888.3081268012,28170.9562597997,-0.014350988102062,0.0932358394273883,Inf,1.2308946577209,-0.0567678290118466,"Fill/HB",5,1
"6",6,24360.315995409,28966.4762103506,33789.0402232888,34788.8761999165,21769.6618322204,29538.0166375529,-0.00478141343628079,0.0888461137150334,Inf,1.18343397827282,-0.0651199361967331,"Fill/HB",6,1
"7",7,24087.3302903049,27665.5070902562,34016.5604649747,32141.4840241008,21893.3441056539,29158.6854945242,-0.0287294538177455,0.0742112717043199,Inf,1.26525472818424,-0.0592067595482318,"W10004_0290/PHK76",7,1
"8",8,24960.57429281,28572.9611726937,32360.6770246532,32457.9110182325,23504.6165122055,29119.4596962603,-0.00934588439046523,0.0763023627699962,2.26018461241843,1.18644944590851,-0.0475725412347593,"W10004_0498/PHK76",8,1
"9",9,24368.3248813181,28371.856520525,31966.4805920134,32014.6971237085,22728.2050265289,28740.172952123,-0.00454432835030936,0.08458833085248,2.39184045289167,1.17970080064955,-0.0531886216575476,"Fill/HB",9,1
"10",10,24651.868047097,29013.4566077954,32797.7268574909,32227.2878603329,22017.1727568006,29366.3206233276,-0.00239413775337649,0.0882126863935725,1.89112127374966,1.17765188873206,-0.0732912290121345,"Fill/HB",10,1
"11",11,26655.2769208729,30487.9305190774,30680.6894608662,32590.907167757,25651.7116183563,29740.0358634177,0.0192569192179843,0.0795856033364024,1.80955131299469,1.08059275083257,-0.0404049211195097,"W10004_0884/PHK76",11,1
"12",12,26805.7004811941,30918.9598841206,30349.4584601787,32616.2298438574,26074.4584110773,29803.4578220679,0.0296965336040814,0.0824720688737537,1.34652870714679,1.04445316683359,-0.0297870266568344,"W10004_0037/PHK76",12,1
"13",13,25709.3159968086,30341.0029420564,31151.6492968984,32548.3498553904,24805.506582228,29582.3680153195,0.0229490521056151,0.0960453211988917,Inf,1.09117250313098,-0.0360973271033696,"Fill/HB",13,1
"14",14,28113.0464469279,32516.1325505729,30904.9809025322,35046.5865516103,27858.4404677701,31006.1075675655,0.0396409021895234,0.0846006220757906,1.23495787877929,1.0094157516936,-0.0225984432327629,"Fill/HB",14,1
"15",15,24655.547088251,29335.9797464666,31620.5612705814,32644.9749866434,23716.1989897518,29050.7909704938,0.0138415889685951,0.0945970915986574,2.15293629119884,1.12393057688491,-0.0348950450615981,"W10004_0065/PHK76",15,1
"16",16,24936.8328883067,28407.1853493879,30270.746889012,31491.6930827749,25278.4879842813,28248.3082690391,0.00716628114681465,0.071972769164854,Inf,1.11361359461273,-0.0047569015215586,"W10004_0103/PHK76",16,1
"17",17,25041.261678813,28846.0984113669,30935.5851727573,31919.8580716196,25976.656320453,28667.8342392847,0.00854867977598824,0.0780262989566434,Inf,1.11750755356437,0.00672566933558766,"Fill/HB",17,1
"18",18,26176.413416611,30036.0630304186,29989.0749976161,33215.8393725565,28112.7223228759,29095.4791435762,0.0268764375866779,0.0770257043541221,1.63930069143432,1.04378202899396,0.0235044280422958,"Fill/HB",18,1
"19",19,25273.4608480497,29822.4390161071,30487.9513875412,33393.1669415874,27140.91893072,28980.6915811424,0.0262701377479908,0.0929267608906604,Inf,1.0730162650247,0.0189718344956384,"W10004_1007/PHK76",19,1
"20",20,24874.1856655618,30019.3537973771,29854.6697891147,33569.3495220253,26507.4263342461,28724.5289591016,0.0406863531135433,0.103008003243551,1.64518764007275,1.03335355943116,0.0158843203749784,"W10004_0168/PHK76",20,1
"21",21,23672.2873604129,29647.7072118165,30518.628331183,32398.3718912666,23688.1662588424,28454.6804321341,0.0387881829909656,0.120549029285332,1.44075395560094,1.06979329207582,-0.0155248735700135,"Fill/HB",21,1
"22",22,23458.3504173246,29298.4011730205,29666.3208662305,31937.9357094518,23040.0762012181,27987.2845169235,0.0409248341351373,0.120229390059333,1.94286221447755,1.06273009704867,-0.0238065462648128,"Fill/HB",22,1
"23",23,24685.0782493972,30255.2964833265,29099.3864246395,33200.8808971384,24935.6028388153,28544.2276782641,0.0490278350732878,0.114333067723459,Inf,1.0252634908688,-0.013934837612552,"W10004_0950/PHK76",23,1
"24",24,24370.5413777973,30192.521983326,28932.5437472576,33919.1216761738,24013.3519526108,28281.4282046142,0.0550538860838721,0.114509842886817,Inf,1.00222577604141,-0.023573034517072,"W10004_0080/PHK76",23,2
"25",25,24286.9621014818,30036.8348450831,29750.8492590929,33115.2850920521,24060.020116749,28538.5834485977,0.044316661220248,0.11782863642171,2.01702808636341,1.04497914233166,-0.0231525788597782,"W10004_1112/PHK76",22,2
"26",26,25029.4198364572,30406.3472069092,31171.2898291069,32693.0487872106,24124.743660419,29430.8997688712,0.0310092780275781,0.108258528650243,Inf,1.08070801107164,-0.0374375033857835,"W10004_0827/PHK76",21,2
"27",27,25027.7272646457,30263.1371232998,30668.8736776602,31945.8220730732,24189.6136545471,29099.8914538357,0.0355571882782874,0.105374504494564,1.06067263015757,1.0530635962679,-0.0314096398759907,"B37/OH43",20,2
"28",28,26385.3162633912,30617.330116365,30506.9793128925,32040.33099372,26505.8300240118,29591.3078305035,0.0301004158279221,0.0842083579185179,1.73115111006522,1.04234176080929,-0.0135386604400626,"W10004_0079/PHK76",19,2
"29",29,25318.861804996,30305.1760676873,30354.573775629,31923.4882263408,24593.5909660668,29074.5391444985,0.0377230103919455,0.0988441636916996,1.21846359469188,1.03158150722292,-0.0277422573570835,"W10004_0264/PHK76",18,2
"30",30,25714.4764639385,31213.2383902329,31734.9696586028,32812.4703142663,24408.0686864119,30079.9622292319,0.03621923380397,0.107009770871103,1.2588458429673,1.05110899595479,-0.0422162838529253,"W10004_0062/PHK76",17,2
"31",31,24215.3305233247,29810.5328913095,33148.1052806062,32117.5492304049,21812.3646696661,29675.6693205767,0.0142756101716881,0.110903049782965,2.02988576932952,1.14729542748516,-0.0676841410441323,"W10004_0199/PHK76",16,2
"32",32,26187.637768849,30846.686977074,29591.5378397542,33099.7880879225,24946.817773576,29337.9316610243,0.0424933890434434,0.0932771138327119,Inf,1.01124855548904,-0.0418288849119499,"W10004_0632/PHK76",15,2
"33",33,25775.07207828,30718.0943586917,29414.6326718118,32934.0468118339,24447.1893145902,29099.7230982391,0.0464573769133358,0.0964970864641688,Inf,1.00476818026716,-0.0445737428508936,"W10004_0649/PHK76",14,2
"34",34,24812.6333996563,30564.3111603509,29866.7602423804,32564.0989418468,23876.839016008,28925.9839473689,0.0485178242604137,0.114940462616704,Inf,1.02463317013031,-0.0377400335621151,"W10004_0949/PHK76",13,2
"35",35,23052.4129221195,29359.4636679784,30548.2559714469,31567.4471492633,21926.3365059028,28205.5424134327,0.0398116620686531,0.127921734581125,2.45649939437209,1.07665456008419,-0.0384221508706718,"F42/H95",12,2
"36",36,23591.8661475898,28694.6685181512,30122.6904384051,31353.7872941877,23751.5991866693,27951.2981084619,0.0256341029454077,0.105830971953497,2.56838410229173,1.09884977005341,-0.0122130122562295,"W10004_0041/PHK76",11,2
"37",37,23916.0314268344,29158.5258850489,30710.3680961511,32475.2813917598,24557.7200112239,28388.7835557246,0.0261144935469601,0.10601873799357,2.31720208425403,1.09582925234236,-0.00127321643396725,"LH82/TX779",10,2
"38",38,25650.2891380721,30860.2007315078,30979.0875403051,33723.8172674335,27183.6180759421,29624.1403722449,0.037147508123695,0.101365225011338,1.7846064314089,1.04367425392734,0.0124263420816125,"W10004_0389/PHK76",9,2
"39",39,25846.5751282557,31032.089581689,32315.6687549329,33050.7862569061,26773.2605564325,30265.9403585448,0.025300038227559,0.1014207968508,Inf,1.09182346992603,0.000238864118376132,"TX773/TX779",8,2
"40",40,26264.8785802952,31603.1841294653,31704.1319479564,32918.7246563376,26638.4778630868,30316.159861413,0.0377413015658373,0.10072217942628,1.57220101748725,1.04146556285709,-0.0071196442042509,"W10004_0782/PHK76",7,2
"41",41,25985.4732532751,31401.371088064,31344.1453784571,33037.9461881368,26033.3229166667,30053.5198806562,0.0385846098989997,0.104996337124487,1.73711166630753,1.04404456251979,-0.0156221957761412,"W10004_0879/PHK76",6,2
"42",42,24799.2993492408,29810.7009738312,30768.7445885448,32292.3965938986,23911.4542853187,28948.3246522458,0.0280897913764787,0.101047868161892,Inf,1.07896921099768,-0.0347431340150098,"W10004_0179/PHK76",5,2
"43",43,25953.2680797423,30795.3232643914,31377.3166347635,33052.3944161726,25039.2007096503,29876.8542621766,0.0265518010500085,0.0963869703698429,2.02742520486557,1.07896202267422,-0.0364348451707692,"W10004_0430/PHK76",4,2
