"","PlotID","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"1",1,1915.41597201413,0.217323726305786,0.319369025781235,0.698722058813648,0.819468179413346,0.734038785218162,"Fill/HB",1,1
"2",2,1880.01622314452,0.21253629366342,0.317556825622896,0.69792353875845,0.827212998447372,0.736936699201465,"Fill/HB",2,1
"3",3,1831.81207518416,0.224562923971173,0.327407056364475,0.706212876025499,0.805001651753172,0.752399112789033,"Fill/HB",3,1
"4",4,1849.30546569602,0.232066677553724,0.330815510642778,0.699807985906079,0.790556532817104,0.756899675052315,"Fill/HB",4,1
"5",5,2031.59241963365,0.22102995643629,0.323778490428963,0.707321090312851,0.812986334020792,0.736047474200319,"Fill/HB",5,1
"6",6,2065.97804697299,0.226083628247289,0.321384732379093,0.680006506209773,0.791146135718649,0.732996121545412,"Fill/HB",6,1
"7",7,2110.4416817011,0.208959790799932,0.310464991456549,0.685981095679978,0.823701924937662,0.732057830653788,"W10004_0290/PHK76",7,1
"8",8,2172.8923061584,0.207136089951378,0.312937007635121,0.699256056548744,0.835571012337652,0.725953776675965,"W10004_0498/PHK76",8,1
"9",9,2406.06564679916,0.19184942211538,0.305073173028945,0.71831474697527,0.877122451051936,0.704836533348763,"Fill/HB",9,1
"10",10,2004.44530630893,0.224007029966104,0.316366424070316,0.675564810344335,0.793901150222267,0.743660119558662,"Fill/HB",10,1
"11",11,2287.56753183727,0.167606421776316,0.283986659755491,0.696622762602604,0.909423628552889,0.69806327321924,"W10004_0884/PHK76",11,1
"12",12,2162.17096423688,0.172550953396892,0.288019006664914,0.692088094010511,0.902301353488794,0.704449782141624,"W10004_0037/PHK76",12,1
"13",13,2138.5616302847,0.192971171156309,0.302489246823868,0.693466979710297,0.869534110405683,0.719431039522505,"Fill/HB",13,1
"14",14,2324.92386748616,0.172240030195015,0.286236940919047,0.68948013770009,0.909175713800924,0.691388272884319,"Fill/HB",14,1
"15",15,2037.65225344102,0.199838494228352,0.298936127074144,0.657990893774597,0.839678955967799,0.718827070001962,"W10004_0065/PHK76",15,1
