"","PlotID","Python_Height","X","LAI","Pedigree","Exp_row","Exp_range"
"71",71,0.865310516357425,71,0.170894027367492,"W10004_0981/PHK76",22,4
"72",72,0.928532257080064,72,0.1748030961434,"W10004_0636/PHK76",21,4
"73",73,0.485337829589838,73,0.0487167300380228,"LOCAL_CHECK",20,4
"74",74,0.336167602539064,74,0.0402349585766671,"W10004_0110/PHK76",19,4
"75",75,0.391636047363278,75,0.0388389068069937,"W10004_0733/PHK76",18,4
"76",76,0.656753540039062,76,0.0863099280184707,"W10004_0465/PHK76",17,4
"77",77,0.475326538085938,77,0.0645391274826006,"W10004_0774/PHK76",16,4
"78",78,0.441468048095714,78,0.0634187744016296,"W10004_0047/PHK76",15,4
"79",79,1.13781860351563,79,0.213119206871966,"W10004_0687/PHK76",14,4
"80",80,1.01539611816406,80,0.146883063968491,"W10004_0852/PHK76",13,4
"81",81,0.889190673828125,81,0.123455113404862,"W10004_0014/PHK76",12,4
"82",82,0.499865722656239,82,0.0166355457477508,"W10004_0667/PHK76",11,4
"83",83,0.610383758544913,83,0.0822410865874363,"W10004_0684/PHK76",10,4
"84",84,0.416322479248038,84,0.0403978680788947,"W10004_0409/PHK76",9,4
"85",85,0.439743041992188,85,0.0341210022407822,"W10004_0291/PHK76",8,4
"86",86,0.271560668945312,86,0.0073666700614455,"W10004_0691/PHK76",7,4
"87",87,0.735427856445312,87,0.028720803910918,"W10004_0189/PHK76",6,4
"88",88,0.739569091796881,88,0.060199646883064,"W10004_0932/PHK76",5,4
"89",89,0.841298217773442,89,0.0835596903436099,"W10004_0231/PHK76",4,4
"90",90,1.07301330566406,90,0.211400054318305,"W10004_0487/PHK76",3,4
"91",91,0.268081665039062,91,0.0224070616194195,"W10004_1052/PHK76",2,4
"92",92,0.856307983398438,92,0.12295415959253,"W10004_1080/PHK76",1,4
"93",93,0.380035400390625,93,0.0356803367734927,"W10004_0618/PHK76",1,5
"94",94,0.263717651367188,94,0.0176873981531776,"W10004_0851/PHK76",2,5
"95",95,0.949732360839846,95,0.0800679117147708,"W10004_0673/PHK76",3,5
"96",96,0.6907958984375,96,0.0661664856056491,"W10004_0612/PHK76",4,5
"97",97,1.08818389892579,97,0.233712442709217,"W10004_0171/PHK76",5,5
"98",98,1.07899993896484,98,0.261381768799864,"W10004_0063/PHK76",6,5
"99",99,1.07197570800781,99,0.162168584716706,"W10004_0101/PHK76",7,5
"100",100,1.17752075195312,100,0.272924800543202,"W10004_0970/PHK76",8,5
"101",101,1.29025268554688,101,0.310562591247072,"W10004_0900/PHK76",9,5
"102",102,0.779315185546864,102,0.115573965300648,"W10004_0971/PHK76",10,5
"103",103,1.13198852539062,103,0.25282634527245,"W10004_1084/PHK76",11,5
"104",104,0.985832214355469,104,0.207258283541554,"W10004_0236/PHK76",12,5
"105",105,1.18585235595702,105,0.247360380241046,"W10004_0757/PHK76",13,5
"106",106,1.14566040039062,106,0.214103826435338,"W10004_0645/PHK76",14,5
"107",107,0.270538330078125,107,0.00896343326656028,"W10004_1004/PHK76",15,5
"108",108,0.261428833007812,108,0.0539127482600577,"W10004_1105/PHK76",16,5
"109",109,1.06658935546875,109,0.123709940249864,"W10004_0614/PHK76",17,5
"110",110,0.972183227539062,110,0.154444218102804,"W10004_0768/PHK76",18,5
"111",111,0.431198120117188,111,0.0151417416397895,"W10004_0501/PHK76",19,5
"112",112,0.581436157226562,112,0.0372419880499728,"W10004_0969/PHK76",20,5
"113",113,0.93902587890625,113,0.123166757197175,"W10004_0792/PHK76",21,5
"114",114,1.02854919433594,114,0.131531592707025,"W10004_0624/PHK76",22,5
"115",115,0.768815307617189,115,0.0345986690207796,"W10004_0799/PHK76",23,5
"116",116,0.971176147460938,116,0.131420811407231,"W10004_0680/PHK76",23,6
"117",117,1.27973937988281,117,0.163339444557615,"W10004_0784/PHK76",22,6
"118",118,1.26083374023438,118,0.286436937701579,"TX714/TX779",21,6
"119",119,1.26755004882813,119,0.22943473094551,"W10004_0661/PHK76",20,6
"120",120,1.16996765136719,120,0.26843677848703,"REDEAR/LH195",19,6
"121",121,1.04274063110353,121,0.175879396984925,"W10004_0756/PHK76",18,6
"122",122,0.959823608398438,122,0.145437262357414,"W10004_0814/PHK76",17,6
"123",123,1.03691314697267,123,0.1390445146175,"W10004_0006/PHK76",16,6
"124",124,1.43415832519531,124,0.346448940793047,"W10004_0119/PHK76",15,6
"125",125,1.30532836914062,125,0.313370000679025,"W10004_0178/PHK76",14,6
"126",126,1.29059051513673,126,0.282440415563251,"W10004_0922/PHK76",13,6
"127",127,0.992416381835938,127,0.146494652860295,"W10004_0974/PHK76",12,6
"128",128,0.749260101318356,128,0.0699371923272789,"W10004_0702/PHK76",11,6
"129",129,0.892227172851562,129,0.155491427601426,"W10004_0010/PHK76",10,6
"130",130,0.947189331054688,130,0.0855852797392721,"W10004_0212/PHK76",9,6
"131",131,0.573013305664062,131,0.0604630635524172,"W10004_0896/PHK76",8,6
"132",132,0.691177368164062,132,0.0588035580905819,"W10004_0203/PHK76",7,6
"133",133,0.998626708984375,133,0.195538503327448,"W10004_0346/PHK76",6,6
"134",134,0.759994506835938,134,0.030217634875904,"W10004_0787/PHK76",5,6
"135",135,1.12873840332031,135,0.254260881374346,"W10004_0116/PHK76",4,6
"136",136,0.359940795898439,136,0.032358833316356,"W10004_0396/PHK76",3,6
"137",137,0.446441650390625,137,0.0222735298112183,"W10004_0637/PHK76",2,6
"138",138,0.743621826171875,138,0.0356500186738193,"W10004_0745/PHK76",1,6
"139",139,0.611709594726562,139,0.0674904942965779,"W10004_0505/PHK76",1,7
"140",140,0.492401123046875,140,0.0435579697844169,"W10004_0097/PHK76",2,7
"141",141,0.325225830078125,141,0.00784247156679681,"W10004_0467/PHK76",3,7
"142",142,0.61590576171875,142,0.0240374821755958,"W10004_0807/PHK76",4,7
"143",143,0.322603454589853,143,0.00886067354698533,"W10004_0963/PHK76",5,7
"144",144,1.0224609375,144,0.105836813690537,"W10004_0217/PHK76",6,7
"145",145,1.19438247680665,145,0.189848922084536,"B73/MO17",7,7
"146",146,1.11285400390625,146,0.171663328014124,"PHG39/PHN82",8,7
"147",147,1.09733581542969,147,0.165008657861678,"W10004_0843/PHK76",9,7
"148",148,1.09083557128906,148,0.142842591335054,"W10004_0197/PHK76",10,7
"149",149,0.566438293457026,149,0.0269251663724026,"TX110/87916",11,7
"150",150,1.07554626464844,150,0.112171108470548,"W10004_0474/PHK76",12,7
"151",151,0.857421875,151,0.0345963196849324,"LH195/TX779",13,7
"152",152,0.61932373046875,152,0.0349358321450397,"W10004_0306/PHK76",14,7
"153",153,0.716082153320315,153,0.0289264616011408,"W10004_0943/PHK76",15,7
"154",154,1.19273895263672,154,0.250297043147639,"W10004_0309/PHK76",16,7
"155",155,1.4410400390625,155,0.287169388517299,"W10004_0427/PHK76",17,7
"156",156,1.32033294677734,156,0.337271677870578,"W10004_0819/PHK76",18,7
"157",157,1.14071655273438,157,0.246579528093702,"W10004_0192/PHK76",19,7
"158",158,1.34225463867188,158,0.312045902084607,"W10004_0996/PHK76",20,7
"159",159,1.24212646484375,159,0.374028178577491,"W10004_0783/PHK76",21,7
"160",160,1.37883209228517,160,0.342805730970327,"W10004_0840/PHK76",22,7
"161",161,1.49763488769531,161,0.387410023088415,"W10004_0848/PHK76",23,7
"162",162,1.42825317382812,162,0.352401969105415,"W10004_0707/PHK76",23,8
"163",163,1.24229431152344,163,0.271082292232482,"W10004_0935/PHK76",22,8
"164",164,0.842605590820312,164,0.0781165127648017,"W10004_0073/PHK76",21,8
"165",165,0.6400146484375,165,0.0421999660499066,"W10004_0914/PHK76",20,8
"166",166,0.974627227783202,166,0.111827810972298,"B37/MO17",19,8
"167",167,0.847076416015625,167,0.045253938077132,"W10004_0913/PHK76",18,8
"168",168,0.857528686523438,168,0.0323883890680699,"W10004_0045/PHK76",17,8
"169",169,0.962070312500003,169,0.16732878340294,"TX777/LH195",16,8
"170",170,1.00053405761719,170,0.141537939229333,"W10004_0953/PHK76",15,8
"171",171,0.581605224609376,171,0.0648107282295026,"F42/OH43",14,8
"172",172,0.59763626098632,172,0.0678391959798995,"W10004_0115/PHK76",13,8
"173",173,1.18704223632812,173,0.129426543985333,"W10004_0806/PHK76",12,8
"174",174,1.14599609375,174,0.182549652011543,"TX779/LH195",11,8
"175",175,0.85858154296875,175,0.136484008963129,"W10004_0224/PHK76",10,8
"176",176,0.923568725585938,176,0.186886693151336,"W10004_0068/PHK76",9,8
"177",177,1.19459747314454,177,0.319627881709843,"W10004_0403/PHK76",8,8
"178",178,1.41069030761719,178,0.390452585475164,"PHW52/PHN82",7,8
"179",179,1.46980560302734,179,0.357610946996706,"W10004_1063/PHK76",6,8
"180",180,1.78233596801758,180,0.469208310700706,"W10004_0965/PHK76",5,8
"181",181,1.28387451171875,181,0.348361907995247,"W10004_0760/PHK76",4,8
"182",182,1.49349975585938,182,0.389726352957154,"W10004_0154/PHK76",3,8
"183",183,1.16128799438476,183,0.247877758913413,"W10004_0729/PHK76",2,8
"184",184,0.947845458984375,184,0.103442422596415,"W10004_0795/PHK76",1,8
"185",185,0.959263000488278,185,0.128874554405025,"W10004_0092/PHK76",1,9
"186",186,1.01983642578125,186,0.146645389107701,"W10004_0381/PHK76",2,9
"187",187,0.806747436523438,187,0.0550707907513666,"W10004_0837/PHK76",3,9
"188",188,0.712112426757812,188,0.0809709726701748,"W10004_0830/PHK76",4,9
