"","PlotID","Python_Height","X","LAI","BI","GLI","NGRDI","VARI","BGI","NDVI","myIndex.1","myIndex.2","myIndex.3","myIndex.4","myIndex.5","myIndex.6","myIndex.7","myIndex.8","myIndex.9","myIndex.10","myIndex.11","myIndex.12","myIndex.13","myIndex.14","myIndex.15","myIndex.16","Pedigree","Exp_row","Exp_range"
"1",1,0.628509521484375,1,0.329870306240239,19418.8324481485,-0.976295074025334,-0.974272488492752,-Inf,99.0535733451574,0.215550361149061,-0.999684428571983,-46911.699043861,-0.977958872682088,-0.976295074025334,-77684.9520210452,-0.974272488492752,-0.999627671892131,-0.999841595518485,-0.982106299991853,0.460702850409522,0.639019423903949,0.533332582921095,0.0111534413014608,-21908.0378408459,0.0730945433887544,0.012251299299265,"Fill/HB",1,1
"2",2,0.793258666992188,2,0.371583771855373,18702.3059487149,-0.975850562280033,-0.97384773125505,-Inf,95.4085736477767,0.222738490216667,-0.999675088711534,-45164.4088589615,-0.977501278673493,-0.975850562280033,-74792.7204692514,-0.97384773125505,-0.999618044503208,-0.999836907274809,-0.981769517783438,0.461384944371982,0.639862094715254,0.532538228222497,0.0113867158531735,-21090.2225787785,0.0716140144415051,0.0124724630885594,"Fill/HB",2,1
"3",3,0.819000244140625,3,0.319638734211599,16770.1282806174,-0.973369349772071,-0.971201796724089,20.3411864826731,85.8536963602009,0.24134163299704,-0.999606443808318,-40434.2367392223,-0.975164832011758,-0.973369349772071,-66851.3985735418,-0.971201796724089,-0.999540954934414,-0.999802450225352,-0.979883765443366,0.460372557288448,0.637816168684949,0.532922031192674,0.0125849171738387,-18796.5441673711,0.0730500952040913,0.0137649862736035,"Fill/HB",3,1
"4",4,0.865478515625,4,0.28376451415767,18895.2849790866,-0.975866698080018,-0.974129944281693,-Inf,95.7868890998401,0.22077325663052,-0.999668497919594,-45663.1698256255,-0.977327088965129,-0.975866698080018,-75854.6881728582,-0.974129944281693,-0.999618509663473,-0.999833598955718,-0.981779125268821,0.465629086624091,0.645807096363334,0.528297288465516,0.011479332274013,-21492.5131051663,0.0630722476382999,0.0124187066636128,"Fill/HB",4,1
"5",5,0.768524169921875,5,0.172997929184914,19039.0322841547,-0.976230622127681,-0.974414919953212,27.3904527701213,96.8486730097191,0.224400712521547,-0.999683254929213,-46007.3303264157,-0.977755550469089,-0.976230622127681,-76301.6165189279,-0.974414919953212,-0.999632234060565,-0.99984100639584,-0.982057393635486,0.463747477233783,0.643265599339124,0.530271653978046,0.0112575742199356,-21565.9187089373,0.0669463494742148,0.0122451749984676,"Fill/HB",5,1
"6",6,0.630752563476562,6,0.140897670944524,21968.6299443507,-0.979113115463535,-0.977644313439945,-Inf,111.077664290931,0.18030106966725,-0.999753784585945,-53192.3161731885,-0.980368175776897,-0.979113115463535,-88465.8326637901,-0.977644313439945,-0.999717154360668,-0.999876409517651,-0.984244706094722,0.466966610502852,0.6485014900689,0.527781624862055,0.0099222231127763,-25122.5117790011,0.0611591683514519,0.0107189935340313,"Fill/HB",6,1
"7",7,1.05351257324219,7,0.267051434391445,19593.7130041163,-0.975622122555004,-0.973140235047092,11.0805720705863,100.897280423457,0.263966134228873,-0.999652945947414,-47294.8745159157,-0.977611495024386,-0.975622122555004,-77946.3697270237,-0.973140235047092,-0.999579455687655,-0.999825792475565,-0.981590674563217,0.454103104171812,0.629607904028276,0.539760454015927,0.0113365028958258,-21821.0680079343,0.0862200772165745,0.0126855917494229,"W10004_0290/PHK76",7,1
"8",8,1.0908203125,8,0.322616784356328,20202.2915625111,-0.976296471248981,-0.973528883321356,7.50602430439146,105.108727785645,0.265986855888602,-0.999669556524331,-48728.953408395,-0.978466164886145,-0.976296471248981,-79884.6723606727,-0.973528883321356,-0.999589456665121,-0.999834130333782,-0.982102726087983,0.448169358705486,0.621471344217008,0.545864883323842,0.0108991409114206,-22181.2278230555,0.0983149286857183,0.0123969657194635,"W10004_0498/PHK76",8,1
"9",9,1.11923217773438,9,0.261755219826855,18298.7395969151,-0.974105296196741,-0.970901011736346,6.25083309536868,96.0320641012132,0.284560667639988,-0.999611630125637,-44042.8081455643,-0.976589568627004,-0.974105296196741,-71878.2926652211,-0.970901011736346,-0.999513911420171,-0.999805053553261,-0.980438669981671,0.443794000152531,0.6147911568741,0.549685556508026,0.0118594366438975,-19809.6317997549,0.106604772980983,0.0135920764258761,"Fill/HB",9,1
"10",10,1.14202880859375,10,0.282610171793305,19310.0189626155,-0.975084467205897,-0.97166411668359,5.3921321841361,101.995145390707,0.287166256480265,-0.999634226773008,-46464.2321051396,-0.977680717422842,-0.975084467205897,-75560.8901478526,-0.97166411668359,-0.99953153398979,-0.999816396184098,-0.981181547726237,0.439224440820627,0.60864139972429,0.554502741754785,0.0113017589667088,-20710.4700305093,0.116030029735417,0.0131375646335456,"Fill/HB",10,1
"11",11,1.24293594360353,11,0.312474534836344,21962.5277130703,-0.976304884731678,-0.972944335778591,5.71721342756159,114.848601029978,0.270409604342087,-0.999652264099812,-52974.4010509524,-0.978836911197373,-0.976304884731678,-86596.6119545838,-0.972944335778591,-0.999548181805105,-0.999825450214808,-0.982103612566299,0.44105093036005,0.61150584002617,0.552983607162049,0.0107146694150372,-23943.0077883082,0.1126688074259,0.0125148728891386,"W10004_0884/PHK76",11,1
"12",12,1.24308776855469,12,0.202478356815481,21879.9479678877,-0.977025771839122,-0.973966180950839,5.94755277919015,114.342542255109,0.238425719726988,-0.999678470893045,-52797.4081670969,-0.979382683161808,-0.977025771839122,-86352.4920159587,-0.973966180950839,-0.999587725510047,-0.999838604997293,-0.982653352706976,0.443424479164604,0.615012055066104,0.550793305071055,0.0104331434656948,-23895.0598920441,0.10804754290456,0.0120867376927508,"W10004_0037/PHK76",12,1
"13",13,1.42320251464844,13,0.417931221780901,19017.16231412,-0.973524802164288,-0.969261847155305,5.27912977465011,100.72640090519,0.334797526264824,-0.999578721841024,-45714.730330753,-0.976653355721987,-0.973524802164288,-74215.0276706545,-0.969261847155305,-0.999436528533472,-0.999788534884906,-0.979992886464806,0.432774720248525,0.599215570502871,0.56055624190641,0.0118299398954894,-20284.4980999296,0.128702985124724,0.0140988543679383,"Fill/HB",13,1
