"","PlotID","Python_Height","X","LAI","FieldImageR_Height","BI","GLI","NGRDI","VARI","BGI","NDVI","myIndex.1","myIndex.2","myIndex.3","myIndex.4","myIndex.5","myIndex.6","myIndex.7","myIndex.8","myIndex.9","myIndex.10","myIndex.11","myIndex.12","myIndex.13","myIndex.14","myIndex.15","myIndex.16","Pedigree","Exp_row","Exp_range"
"1",1,0.569854736328125,1,0.0300901992940925,0.34329371881711,20475.3475166811,-0.978764598736328,-0.977919567834315,-Inf,102.363280794493,0.107744792718533,-0.999757104789999,-49570.2207162806,-0.979509549771044,-0.978764598736328,-82883.8384754395,-0.977919567834315,-0.999738827749503,-0.999878076129882,-0.983984133677553,0.477398233617345,0.663018904956801,0.517263144275173,0.0103573033000196,-23722.5841136849,0.0400657363528411,0.0107780081009246,"Fill/HB",1,1
"2",2,0.727767028808586,2,0.0491318144543088,0.438987034325676,20684.9097612342,-0.979005084557499,-0.978139136721021,-Inf,103.340297640673,0.0953351259738044,-0.999763162028354,-50081.284460977,-0.979762422276455,-0.979005084557499,-83761.5964486244,-0.978139136721021,-0.999744106512183,-0.999881116625997,-0.984166727692095,0.477318464593473,0.662968092994894,0.517403777970559,0.0102276410882484,-23984.5085626053,0.040290227251936,0.0106599123260014,"Fill/HB",2,1
"3",3,0.70166015625,3,0.0660700278114526,0.44977581520307,20247.6893975673,-0.978629571983791,-0.977715683003529,-Inf,101.331967940854,0.0892749925552863,-0.999755218496014,-49004.3043358946,-0.979425841997465,-0.978629571983791,-81893.8178512623,-0.977715683003529,-0.999734951269753,-0.999877129284274,-0.983882201766785,0.47644868996971,0.661655566546522,0.518178710619218,0.0103993366916268,-23419.6525109769,0.0419458338064087,0.0108584069308055,"Fill/HB",3,1
"4",4,0.778525848388682,4,0.0934892676317478,0.552753684177006,20567.6881453805,-0.978924619155211,-0.978074419217198,-Inf,102.713531358416,0.0611876303715137,-0.999761872615273,-49789.6733306134,-0.97966343849749,-0.978924619155211,-83285.4852985176,-0.978074419217198,-0.999743282231889,-0.999880469391196,-0.984105903442799,0.477655526697395,0.66341970519062,0.517046441116871,0.010278005847028,-23852.7228342173,0.0395912890578306,0.0106978567419158,"Fill/HB",4,1
"5",5,0.699600219726562,5,0.105636564583408,0.407395269192436,20956.0885989728,-0.979207722878525,-0.97823819858806,-Inf,105.232073250653,0.04787804832875,-0.999767140865212,-50727.6497175141,-0.980047653153056,-0.979207722878525,-84637.5091715508,-0.97823819858806,-0.999746130315226,-0.999883113846067,-0.984320200264843,0.474710846988856,0.659368585872679,0.520062553099425,0.0100822961165079,-24148.4710385976,0.0455798541557903,0.0105760741190064,"Fill/HB",5,1
"6",6,0.560562133789062,6,0.0657824366242379,0.321199370593559,21678.5045673876,-0.980212262081273,-0.979452482182906,-Inf,108.081452382243,0.00483400662060818,-0.999792514631457,-52518.6813991601,-0.980884138797559,-0.980212262081273,-87918.7568575233,-0.979452482182906,-0.999776890509371,-0.999895850481673,-0.985082774204439,0.478746251967939,0.665272344156595,0.516281339433541,0.0096537524773248,-25212.911041688,0.0377157299379022,0.0100282634169811,"Fill/HB",6,1
"7",7,0.951187133789062,7,0.236147757255937,0.514014196705462,20077.1751233639,-0.978297077835077,-0.977139525181921,-Inf,101.360187125628,0.0957463137035222,-0.99974544203556,-48550.910012285,-0.979281914063592,-0.978297077835077,-80795.5972256347,-0.977139525181921,-0.999719027907887,-0.999872221884516,-0.983629389645658,0.471651642258321,0.654855429043535,0.522891487623565,0.0104737000034782,-22959.0622952498,0.0515096200128789,0.0110719887119621,"W10004_0290/PHK76",7,1
"8",8,1.01138305664062,8,0.324087278950371,0.529392130802436,20295.4946276047,-0.978576245224886,-0.97741234598611,-Inf,102.557207713388,0.127448813936672,-0.99975278280632,-49079.7672159128,-0.979560071692091,-0.978576245224886,-81637.5181645113,-0.97741234598611,-0.999726858554196,-0.999875906663565,-0.983841445903527,0.471185317794681,0.65427326021373,0.523428497506494,0.0103313063049063,-23182.6792489989,0.0525134094208784,0.0109314367885166,"W10004_0498/PHK76",8,1
"9",9,1.02556564331056,9,0.373720805847745,0.657091875770554,19899.8841081578,-0.977856905876061,-0.976637296569158,-Inf,100.727590705636,0.18526990574487,-0.999731889921298,-48113.6228520238,-0.978893321584182,-0.977856905876061,-79971.9449629449,-0.976637296569158,-0.999703917696255,-0.999865419254612,-0.983294366333528,0.470343842491159,0.652912834932132,0.52408761295335,0.0106739979562132,-22683.0872220865,0.054027991823771,0.0113077998890217,"Fill/HB",9,1
"10",10,0.992733154296872,10,0.366278033301244,0.598391890583839,19799.7854813581,-0.977870982708229,-0.976514803347369,-Inf,100.633285130644,0.211192342465772,-0.999733579577439,-47834.5495810699,-0.978992622905562,-0.977870982708229,-79335.8362029279,-0.976514803347369,-0.999702205777176,-0.999866267395734,-0.983305629262264,0.46796535763077,0.649586710437166,0.526469852123318,0.0106224426442821,-22428.0618727557,0.0588154645588706,0.0113256443527707,"Fill/HB",10,1
"11",11,1.04025268554688,11,0.37250427837992,0.717827444967413,18578.394043317,-0.976611336312774,-0.975106551706287,-Inf,94.5226546107569,0.249683571235945,-0.999703903619624,-44866.6336539295,-0.977868108662428,-0.976611336312774,-74394.3330733905,-0.975106551706287,-0.999666731532966,-0.999851371228674,-0.982350136916915,0.466724294587714,0.647530724728437,0.527392417717924,0.0111968599412708,-21018.3567281865,0.0610158073280334,0.0119905000980367,"W10004_0884/PHK76",11,1
"12",12,1.07620239257812,12,0.249607815173987,0.564616157129618,18258.9822339487,-0.976523276580831,-0.975187836196368,-Inf,92.3043068680267,0.192492902521412,-0.999706277327152,-44107.8542789014,-0.97765006666636,-0.976523276580831,-73365.2127174777,-0.975187836196368,-0.999673336843563,-0.999852562736766,-0.982284828981631,0.470219527500633,0.652402281494763,0.523875415493244,0.0113063586091812,-20825.2560275545,0.0539662254288425,0.0120022737480975,"W10004_0037/PHK76",12,1
"13",13,1.18701171875,13,0.47340084147472,0.832034255327514,18253.9162627018,-0.97617806846269,-0.97416606680924,-Inf,94.0982932266194,0.238430074972234,-0.999691719740422,-43997.7867784482,-0.977781107780964,-0.97617806846269,-72460.5975863726,-0.97416606680924,-0.999640424390148,-0.999845255399114,-0.982021120645185,0.458579052575881,0.636017713821294,0.535427987639181,0.0112414715013607,-20257.7220056603,0.0773017010924358,0.0123053516374307,"Fill/HB",13,1
"14",14,0.9302978515625,14,0.188975254938316,0.42768365536096,20249.2253627612,-0.978729917735414,-0.97772583224238,-Inf,101.188962130879,0.0590064503727036,-0.999757145366762,-48999.4566145892,-0.979581098847899,-0.978729917735414,-81933.2363942902,-0.97772583224238,-0.999733422514954,-0.999878096497826,-0.983958267736034,0.47595963023741,0.660996238244385,0.518693125674602,0.0103195874051691,-23451.271271215,0.04296712021511,0.0108249897181012,"Fill/HB",14,1
"15",15,0.98529052734375,15,0.277559897318882,0.64986233377426,20786.1471827629,-0.97875990701984,-0.977502077282746,-Inf,105.348409572946,0.112729411899837,-0.999752362390804,-50262.2533473748,-0.979811603732558,-0.97875990701984,-83479.0258161577,-0.977502077282746,-0.999723668976261,-0.999875695631463,-0.983979140972616,0.469334130409835,0.651727496231308,0.525325583247704,0.0102046758435057,-23653.4089062735,0.0562816266160607,0.0108579415193229,"W10004_0065/PHK76",15,1
"16",16,0.952743530273438,16,0.260909868796349,0.623552498057684,21026.5045677689,-0.979120126267119,-0.978039541825416,-Inf,105.999092864965,0.118145206168739,-0.999763047553738,-50889.0218130168,-0.980053116134328,-0.979120126267119,-84750.9761984477,-0.978039541825416,-0.999739204192865,-0.999881059164229,-0.9842530623979,0.472417619617168,0.656135688263335,0.522333401182132,0.0100803828902201,-24114.2531324507,0.0501696922559006,0.0106412277670586,"W10004_0103/PHK76",16,1
"17",17,0.655417480468742,17,0.0984097554018398,0.410035661338032,22354.1636243106,-0.980569847648536,-0.979865921580108,-Inf,111.225256424692,0.0547806541993679,-0.999797391433579,-54180.6865600219,-0.981195486107403,-0.980569847648536,-90785.2312004375,-0.979865921580108,-0.999783084370523,-0.99989829844509,-0.985352753223052,0.479776328841309,0.666804444785517,0.515341255566375,0.00949620947533142,-26073.2461717255,0.0357327594591662,0.00983883543101711,"Fill/HB",17,1
"18",18,0.615134277343742,18,0.110207865368845,0.378202756143087,21646.6429054821,-0.980087596611271,-0.97921534245735,-Inf,108.203396032956,0.0849134691066042,-0.999788550390664,-52426.899135762,-0.980842416755811,-0.980087596611271,-87654.9455420632,-0.97921534245735,-0.999770237545907,-0.999893860588255,-0.984987893616664,0.476694074048353,0.662367668206583,0.518301890490535,0.00967556733933258,-25090.0331473581,0.0418128172033173,0.0101125204533515,"Fill/HB",18,1
"19",19,0.9287109375,19,0.173928545960208,0.629926283469988,20323.8749303962,-0.978607050824187,-0.977455760051045,-Inf,102.600382268529,0.166249790437646,-0.999753389381152,-49158.1547765478,-0.979586681750163,-0.978607050824187,-81810.2349938499,-0.977455760051045,-0.999727715534353,-0.999876211140343,-0.983864759914174,0.471499965230877,0.654721537961285,0.523121621407181,0.0103177486166922,-23250.057298073,0.0518899161764366,0.0109133158505114,"W10004_1007/PHK76",19,1
"20",20,0.939831848144536,20,0.163250026738921,0.650981182457448,19805.3313363683,-0.97789464660144,-0.976622845119491,-Inf,100.281273054074,0.195975573655654,-0.999734736217345,-47880.7090440545,-0.978973568346441,-0.97789464660144,-79572.2872254264,-0.976622845119491,-0.9997051223881,-0.999866847983609,-0.983323715782197,0.4697295083356,0.652062550263905,0.524711730258466,0.0106318332872128,-22563.9844152657,0.0552783278096156,0.0112970622993587,"W10004_0168/PHK76",20,1
"21",21,1.08725646972655,21,0.227031266711826,0.742852898698356,21276.9275010944,-0.979417327493991,-0.978338786158363,-Inf,107.153406908903,0.213932150829572,-0.999770053291791,-51494.2031544256,-0.980334169222186,-0.979417327493991,-85791.3213041431,-0.978338786158363,-0.999746635585838,-0.999884575769997,-0.984478545353956,0.4725337185428,0.656373387744572,0.522292463241852,0.00993675306724428,-24425.0843926554,0.0500096877461804,0.0104908240540292,"Fill/HB",21,1
