<Phenotype>
taxa    data
Taxa	NDVI_Mean
W10004_0346/PHK76    0.48851190810451
W10004_0787/PHK76    0.500504993257068
W10004_0116/PHK76    0.404788302740871
W10004_0396/PHK76    0.389319797731795
W10004_0637/PHK76    0.403998429912672
W10004_0745/PHK76    0.44872600698911
W10004_0505/PHK76    0.410726030088375
W10004_0097/PHK76    0.427724408813229
W10004_0467/PHK76    0.410715640579139
W10004_0807/PHK76    0.411108883083902
W10004_0963/PHK76    0.512628894183399
W10004_0217/PHK76    0.516497806715794
B73/MO17    0.424266472232127
PHG39/PHN82    0.528852038913303
W10004_0843/PHK76    0.469691590174733
W10004_0197/PHK76    0.452425627729258
TX110/87916    0.464056074843652
W10004_0474/PHK76    0.532759650986914
LH195/TX779    0.482932147722483
W10004_0306/PHK76    0.446197981534949
W10004_0943/PHK76    0.59179990280367
W10004_0309/PHK76    0.640374639231688
W10004_0427/PHK76    0.650853885925798
W10004_0819/PHK76    0.602683519015399
W10004_0192/PHK76    0.661530163432499
W10004_0996/PHK76    0.580391136148416
W10004_0783/PHK76    0.474757327309138
W10004_0840/PHK76    0.449373321744251
W10004_0848/PHK76    0.568662031618155
CG44/CGR01    0.389727906092701
F42/OH43    0.439449080501694
PHG39/PHN82    0.420942109206627
PHW52/PHM49    0.369711384628758
B14A/MO17    0.420820425677773
REDEAR/LH195    0.425180084330581
B37/MO17    0.405054559770799
B37/H95    0.367679309844971
TX779/LH195    0.390804714626736
TX110/87916    0.469309709116838
W10004_0707/PHK76    0.496568458152125
W10004_0935/PHK76    0.418648121299246
W10004_0073/PHK76    0.458994280133929
W10004_0914/PHK76    0.610994043508287
B37/MO17    0.531620372425426
W10004_0913/PHK76    0.606532541862706
W10004_0045/PHK76    0.640047136006512
TX777/LH195    0.596260158825347
W10004_0953/PHK76    0.587932532888635
F42/OH43    0.476498748443939
W10004_0115/PHK76    0.509789096030043
W10004_0806/PHK76    0.507868866263908
TX779/LH195    0.495606069211607
W10004_0224/PHK76    0.491697938292177
W10004_0068/PHK76    0.4902546228004
W10004_0403/PHK76    0.480524277797965
PHW52/PHN82    0.399969518537352
W10004_1063/PHK76    0.463164911792438
W10004_0965/PHK76    0.463433641530873
W10004_0760/PHK76    0.524889090013398
W10004_0154/PHK76    0.482646979578449
W10004_0729/PHK76    0.399199890136719
W10004_0795/PHK76    0.430437641759073
W10004_0092/PHK76    0.413444643098164
W10004_0381/PHK76    0.482874994692595
W10004_0837/PHK76    0.44274871424218
W10004_0830/PHK76    0.457467866518944
W10004_0800/PHK76    0.472237508805072
W10004_0650/PHK76    0.483232767514261
W10004_0095/PHK76    0.454207108660442
PHW52/PHM49    0.460411438575158
W10004_0754/PHK76    0.446495611017401
W10004_0292/PHK76    0.49440294038345
W10004_0727/PHK76    0.520094026039177
W10004_0930/PHK76    0.506628711451094
W10004_1002/PHK76    0.556014427329009
W10004_0194/PHK76    0.540239937697785
W10004_0383/PHK76    0.558562054071069
W10004_0106/PHK76    0.52799569967457
W10004_0148/PHK76    0.635972961253528
W10004_0380/PHK76    0.606145580081831
W10004_0916/PHK76    0.567825129620847
W10004_0704/PHK76    0.575089743967806
W10004_0877/PHK76    0.515444783026299
W10004_0751/PHK76    0.566055643000395
W10004_1037/PHK76    0.50436867689948
CG119/CG108    0.415106086011203
B73/PHN82    0.427234918298856
TX777/LH195    0.509577186362257
F42/MO17    0.410069392277644
B14A/OH43    0.372049077351888
2369/LH123HT    0.434272467311929
B73/MO17    0.448353791282815
B14A/H95    0.421537963437362
TX714/TX779    0.383591606503441
B73/TX779    0.541069116485253
B73/PHM49    0.4440475887031
W10004_0713/PHK76    0.547309983848961
W10004_0868/PHK76    0.56430578726618
W10004_0055/PHK76    0.530447265625
W10004_0031/PHK76    0.649139295414407
W10004_0794/PHK76    0.653564392873118
B73/TX779    0.580825718741908
W10004_1020/PHK76    0.56541276889306
PB80/TX779    0.553543152932073
W10004_0140/PHK76    0.543727114037482
W10004_0242/PHK76    0.555870599201429
W10004_0685/PHK76    0.51830698677615
W10004_0646/PHK76    0.475864836359142
W10004_0070/PHK76    0.482831617623321
W10004_0982/PHK76    0.429296058724354
W10004_0815/PHK76    0.51719775994151
W10004_0928/PHK76    0.563894626722954
W10004_0644/PHK76    0.562952572707882
W10004_0149/PHK76    0.587409245251767
2369/LH123HT    0.494498942940986
W10004_0712/PHK76    0.376500394922742
B14A/OH43    0.398797065019608
W10004_1064/PHK76    0.411712767585875
W10004_0866/PHK76    0.468898582458496
W10004_0651/PHK76    0.452942869533746
W10004_0190/PHK76    0.500098712707066
W10004_0682/PHK76    0.523658879933487
W10004_0988/PHK76    0.551212681240211
W10004_0122/PHK76    0.500651772547049
W10004_0153/PHK76    0.420193084149231
W10004_0669/PHK76    0.468128701182654
W10004_0268/PHK76    0.485643906092065
W10004_0071/PHK76    0.477936966652663
W10004_0064/PHK76    0.487550617429255
W10004_0771/PHK76    0.523033243569094
F42/MO17    0.538893797216636
W10004_0818/PHK76    0.599279084216049
W10004_0059/PHK76    0.576603716945736
B14A/MO17    0.590646849831752
CG119/CG108    0.571655772498467
