,Pedigree,QGIS_rows,QGIS_range,PlotID,Date,Phenotype,Value,date,doy,gdd
61,W10004_0756 X PHP02,16,16_19,556,2020-06-15,NDVI,0.394966870002271,200615,167,198.91
62,W10004_0669 X PHP02,15,15_19,555,2020-06-15,NDVI,0.378347031932238,200615,167,198.91
63,W10004_0505 X PHP02,14,14_19,554,2020-06-15,NDVI,0.3784977186274,200615,167,198.91
64,W10004_0997 X PHP02,13,13_19,553,2020-06-15,NDVI,0.37641139244015,200615,167,198.91
65,W10004_0729 X PHP02,11,11_19,551,2020-06-15,NDVI,0.388498598565077,200615,167,198.91
66,W10004_0807 X PHP02,10,10_19,550,2020-06-15,NDVI,0.371354869402476,200615,167,198.91
67,W10004_0746 X PHP02,30,30_19,570,2020-06-15,NDVI,0.37429551535556,200615,167,198.91
68,W10004_0178 X PHP02,1,1_18,540,2020-06-15,NDVI,0.395225013830881,200615,167,198.91
69,TX773 X TX779,2,2_18,539,2020-06-15,NDVI,0.367790183962525,200615,167,198.91
70,W10004_0147 X PHP02,3,3_18,538,2020-06-15,NDVI,0.36067399803428,200615,167,198.91
71,W10004_0225 X PHP02,23,23_18,518,2020-06-15,NDVI,0.36247953686081,200615,167,198.91
72,W10004_0179 X PHP02,22,22_18,519,2020-06-15,NDVI,0.37221813900898,200615,167,198.91
73,W10004_0106 X PHP02,21,21_18,520,2020-06-15,NDVI,0.377927570108911,200615,167,198.91
74,W10004_0687 X PHP02,20,20_18,521,2020-06-15,NDVI,0.357430548197644,200615,167,198.91
75,W10004_1080 X PHP02,19,19_18,522,2020-06-15,NDVI,0.367634188122383,200615,167,198.91
76,W10004_0830 X PHP02,18,18_18,523,2020-06-15,NDVI,0.352171125455261,200615,167,198.91
77,W10004_0956 X PHP02,17,17_18,524,2020-06-15,NDVI,0.385083099760555,200615,167,198.91
78,W10004_0200 X PHP02,16,16_18,525,2020-06-15,NDVI,0.400134969730719,200615,167,198.91
79,B14A X MO17,15,15_18,526,2020-06-15,NDVI,0.365681749214851,200615,167,198.91
80,CG44 X CGR01,25,25_18,516,2020-06-15,NDVI,0.407841609669775,200615,167,198.91
81,W10004_0792 X PHP02,14,14_18,527,2020-06-15,NDVI,0.372137226149474,200615,167,198.91
82,W10004_0684 X PHP02,12,12_18,529,2020-06-15,NDVI,0.391889310388693,200615,167,198.91
83,W10004_0975 X PHP02,11,11_18,530,2020-06-15,NDVI,0.370719215154914,200615,167,198.91
