"","PlotID","PlotID_agisoft","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"1",1,1,0.099979976826104,0.0582995226414585,0.211539936905226,0.692105092933777,1.136605549849,0.549452296558377,"Fill/HB",1,1
"2",2,2,0.0981085174145237,0.0587019171289675,0.214543953445069,0.710142818012275,1.14033143678038,0.556665028790875,"Fill/HB",2,1
"3",3,3,0.0961245572976031,0.0656177255727566,0.218654301990372,0.702910275156646,1.12054883182556,0.56457338931255,"Fill/HB",3,1
"4",4,4,0.0958948546217584,0.0661286301667974,0.220734558569988,0.72124391445643,1.1245078376007,0.563662518166809,"Fill/HB",4,1
"5",5,5,0.098562056851036,0.0628268438507227,0.220919779302678,0.738597888766096,1.13600661285605,0.558776884393504,"Fill/HB",5,1
"6",6,6,0.102382874978137,0.0455450012777835,0.209853106428273,0.747682065359516,1.17927210232486,0.531164692390233,"Fill/HB",6,1
"7",7,7,0.0915816581990456,0.079862261220964,0.227850937347069,0.714623915422328,1.09217734356931,0.588439648542543,"W10004_0290/PHK76",7,1
"8",8,8,0.0880320284458632,0.0961568942078336,0.237005266985296,0.698966713506938,1.0503774928166,0.607860405271495,"W10004_0498/PHK76",8,1
"9",9,9,0.086441105925426,0.0864508039106666,0.234482188014153,0.724596087921393,1.07840631935877,0.611627474574197,"Fill/HB",9,1
"10",10,10,0.0837154017482746,0.109531283007332,0.246060043695137,0.701615466137372,1.02268647392773,0.634517047705051,"Fill/HB",10,1
"11",11,11,0.0901984042049167,0.101601818794132,0.24239248578225,0.713189624294509,1.04369144331926,0.626568500139933,"W10004_0884/PHK76",11,1
"12",12,12,0.0876514196535317,0.0786769227550854,0.231244139176605,0.735375375416971,1.10285421906678,0.604465683439804,"W10004_0037/PHK76",12,1
"13",13,13,0.0837230296751608,0.138151701716862,0.266321445683225,0.702152013939298,0.964239088455755,0.672168952490847,"Fill/HB",13,1
"14",14,14,0.094619375839933,0.0731661014042717,0.224964407370173,0.727199505916229,1.11414186026062,0.572409886385251,"Fill/HB",14,1
"15",15,15,0.0950359472997512,0.0906463070995798,0.234321719833528,0.707221830166702,1.0666036883835,0.599632646837108,"W10004_0065/PHK76",15,1
"16",16,16,0.0943080676267026,0.085850367720341,0.229463247056058,0.697117824360763,1.07189837483101,0.601807443034131,"W10004_0103/PHK76",16,1
"17",17,17,0.104639698840067,0.0553155359719509,0.211736087213352,0.712116701153828,1.14817634841673,0.548351326273394,"Fill/HB",17,1
"18",18,18,0.0987438032124875,0.0533210606747463,0.207314323702185,0.693219144303662,1.15065135737237,0.540819411792916,"Fill/HB",18,1
"19",19,19,0.0943480622068644,0.0748867002624441,0.221469709443751,0.683704807407496,1.09952002632888,0.576012853907069,"W10004_1007/PHK76",19,1
"20",20,20,0.0892435276606088,0.0784178968069755,0.21816962815775,0.64551644311449,1.08348555261374,0.573024655047595,"W10004_0168/PHK76",20,1
"21",21,21,0.0931725175671237,0.084582873901741,0.219471320987251,0.633900477001027,1.06446546845307,0.583507795663376,"Fill/HB",21,1
"22",22,22,0.0914949525897289,0.0596401164496383,0.202412758070615,0.631642053914318,1.1218904119372,0.553293012389907,"Fill/HB",22,1
