PlotID,210701,210721,
1,10,4,
2,10,6,
3,10,8,
4,9,7,
5,8,6,
6,6,3,
7,8,8,
8,10,9,
9,10,10,
10,10,10,
11,10,10,
12,8,9,
13,10,9,
14,5,8,
15,7,9,
16,7,9,
17,2,6,
18,8,9,
19,10,9,
20,10,9,
21,10,8,
22,10,9,
23,10,7,
24,6,7,
25,1,8,
26,6,7,
27,8,7,
28,8,7,
29,10,8,
30,9,8,
31,2,7,
32,3,8,
33,7,9,
34,5,8,
35,7,9,
36,8,8,
37,2,9,
38,8,9,
39,8,8,
40,8,8,
41,9,8,
42,8,7,
43,9,7,
44,10,6,
45,9,8,
46,10,8,
47,8,4,
48,2,6,
49,4,3,
50,1,4,
51,2,6,
52,7,5,
53,8,5,
54,8,6,
55,8,6,
56,8,4,
57,5,3,
58,5,2,
59,8,6,
60,8,6,
61,7,5,
62,8,7,
63,1,4,
64,5,6,
65,6,4,
66,3,5,
67,5,6,
68,7,7,
69,8,7,
70,1,1,
71,4,4,
72,7,6,
73,1,2,
74,2,4,
75,1,3,
76,3,4,
77,1,2,
78,1,4,
79,7,8,
80,6,7,
81,6,7,
82,1,4,
83,3,8,
84,1,7,
85,1,6,
86,2,3,
87,3,5,
88,4,7,
89,6,7,
90,9,9,
91,1,3,
92,2,7,
93,1,4,
94,1,3,
95,4,8,
96,4,5,
97,8,7,
98,10,8,
99,10,8,
100,8,8,
101,7,9,
102,5,2,
103,6,7,
104,3,5,
105,6,6,
106,8,7,
107,1,1,
108,1,5,
109,2,6,
110,2,6,
111,9,1,
112,8,2,
113,10,8,
114,7,7,
115,7,3,
116,7,8,
117,5,7,
118,7,9,
119,5,7,
120,5,7,
121,4,6,
122,3,6,
123,3,7,
124,9,9,
125,8,8,
126,9,8,
127,9,7,
128,8,6,
129,7,7,
130,6,6,
131,4,5,
132,7,6,
133,7,8,
134,1,4,
135,8,8,
136,2,6,
137,2,3,
138,6,4,
139,8,5,
140,9,7,
141,1,1,
142,3,5,
143,1,3,
144,7,6,
145,9,7,
146,7,7,
147,6,8,
148,7,8,
149,10,2,
150,9,6,
151,7,5,
152,2,5,
153,4,2,
154,8,8,
155,9,8,
156,9,9,
157,7,7,
158,9,7,
159,8,7,
160,8,8,
161,9,9,
162,8,8,
163,7,8,
164,1,6,
165,3,5,
166,8,7,
167,4,5,
168,2,3,
169,8,7,
170,9,7,
171,3,5,
172,3,6,
173,7,7,
174,7,6,
175,4,5,
176,5,7,
177,9,8,
178,10,9,
179,10,7,
180,10,8,
181,10,7,
182,10,8,
183,8,7,
184,3,5,
185,3,5,
186,6,4,
187,2,3,
188,3,9,
189,7,8,
190,7,7,
191,10,6,
192,9,9,
193,6,8,
194,8,8,
195,9,9,
196,6,4,
197,9,1,
198,8,4,
199,8,7,
200,9,9,
201,6,7,
202,7,8,
203,8,10,
