"","PlotID","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"1",1,0.0557762813237774,0.231769347410779,0.327452176588339,0.689144242888729,0.786923227253079,0.750012473820618,"Fill/HB",1,1
"2",2,0.0555774167327906,0.220588441053477,0.322986641582572,0.695371504099152,0.809112869595213,0.747193604142975,"Fill/HB",2,1
"3",3,0.0536192355657263,0.239314820445929,0.335877773798496,0.697571016167716,0.772522931406652,0.767718598420017,"Fill/HB",3,1
"4",4,0.0588765003459344,0.225713259036462,0.327274981487255,0.705599209948927,0.804290924363729,0.751317302323529,"Fill/HB",4,1
"5",5,0.0586884038521484,0.247197062171438,0.338551757938359,0.692271182837175,0.75894717389312,0.757141061622247,"Fill/HB",5,1
"6",6,0.0666203578931155,0.212176956949398,0.312813902352297,0.685560989401713,0.819307413084075,0.720741763439738,"Fill/HB",6,1
"7",7,0.0622380056098024,0.219253939012511,0.315435270362435,0.67674780705608,0.800117502990427,0.74294416236194,"W10004_0290/PHK76",7,1
"8",8,0.0698876277617362,0.194326092593012,0.306918436428691,0.716938610736918,0.86666110263966,0.714220719043609,"W10004_0498/PHK76",8,1
"9",9,0.0673806072745343,0.210136276763103,0.316203196296969,0.710695715994466,0.837325239436792,0.726400783353429,"Fill/HB",9,1
"10",10,0.0627674209086376,0.226453526709218,0.316217976868692,0.66676844157317,0.78641362998028,0.743522234596819,"Fill/HB",10,1
"11",11,0.0675390346418278,0.174059085193687,0.286921841892942,0.687664097878967,0.895115252666804,0.703682990058367,"W10004_0884/PHK76",11,1
"12",12,0.0674368266529025,0.171227986256871,0.287351566271855,0.692862935620668,0.906247102620694,0.702837437861003,"W10004_0037/PHK76",12,1
"13",13,0.06262250818988,0.208304464456278,0.311225171602768,0.685058978656172,0.837676145638531,0.729834346636438,"Fill/HB",13,1
"14",14,0.0703842131698761,0.175589247117677,0.287386873753708,0.684115347237146,0.900674270014868,0.691765361796796,"Fill/HB",14,1
"15",15,0.0588481360553119,0.208764422432112,0.303790851393022,0.651795730889749,0.818731275813945,0.730894668462083,"W10004_0065/PHK76",15,1
"16",16,0.058314680741845,0.17498092553819,0.28516144507753,0.664535447440227,0.888238600362122,0.71231435370709,"W10004_0103/PHK76",16,1
"17",17,0.0586547204442198,0.18931816552813,0.295619077985239,0.666912105057452,0.864401715527627,0.717243866311432,"Fill/HB",17,1
"18",18,0.0645459325636328,0.151860326100206,0.272196266971196,0.672719777879739,0.941406768902701,0.676083039624534,"Fill/HB",18,1
"19",19,0.0593143572560194,0.187848925000809,0.291853481909069,0.656915063408195,0.865008342772554,0.708651539326065,"W10004_1007/PHK76",19,1
"20",20,0.0595594213629116,0.189516418149699,0.296772797114351,0.673427453755051,0.869169333886495,0.705513425742705,"W10004_0168/PHK76",20,1
"21",21,0.0563616320744964,0.201905301021167,0.300625519043458,0.660596769417372,0.832941195958227,0.731204576398211,"Fill/HB",21,1
"22",22,0.0561128638852357,0.202707553472951,0.302861029550243,0.664411623551125,0.831258989185726,0.734440838753657,"Fill/HB",22,1
"23",23,0.0598199070816157,0.19446666678876,0.30051875167502,0.677028227869633,0.854016655844584,0.720864410628775,"W10004_0950/PHK76",23,1
"24",24,0.0627313760030004,0.190603585502612,0.297373828761591,0.679430906899545,0.858309696928375,0.71263570741946,"W10004_0080/PHK76",23,2
"25",25,0.0594390293727971,0.204771193050601,0.309396339312745,0.689400778717591,0.838401436256094,0.727721857991816,"W10004_1112/PHK76",22,2
"26",26,0.0619409110957382,0.19792511302403,0.30262884355705,0.683165373603905,0.847854019192814,0.722060436821698,"W10004_0827/PHK76",21,2
"27",27,0.0628862441143348,0.182298172542689,0.296771646533528,0.695881826039336,0.884473697602764,0.707111975957157,"B37/OH43",20,2
"28",28,0.0678420782289225,0.154506329950721,0.277134960771572,0.702234302372222,0.944889838236571,0.683665306033188,"W10004_0079/PHK76",19,2
"29",29,0.0666646827755884,0.17288992741545,0.290348383025584,0.689458488041723,0.909179475923979,0.682969755364731,"W10004_0264/PHK76",18,2
"30",30,0.0645771979465731,0.196953820321411,0.304728973557517,0.688942957652976,0.859659911771386,0.70652977701184,"W10004_0062/PHK76",17,2
"31",31,0.0592123149795566,0.220089908310435,0.312907706059406,0.671389293507233,0.801531210807221,0.742481171167739,"W10004_0199/PHK76",16,2
"32",32,0.0602385593596409,0.205717205518101,0.30679422025359,0.67525096765241,0.832610954391628,0.726022762561728,"W10004_0632/PHK76",15,2
"33",33,0.0663966117844357,0.183239690905153,0.292018732075024,0.682383531058213,0.87745074846285,0.702771589517205,"W10004_0649/PHK76",14,2
"34",34,0.0595665911154131,0.214404067004835,0.314217254273273,0.678890341648943,0.816952275401796,0.731702411100252,"W10004_0949/PHK76",13,2
"35",35,0.0555181446686297,0.221296890370823,0.31810472388478,0.673261811751169,0.803351342015505,0.741852086781945,"F42/H95",12,2
"36",36,0.0523907431999214,0.214957494475197,0.310724750386504,0.667196633829717,0.812236248522761,0.750124395319181,"W10004_0041/PHK76",11,2
"37",37,0.0561604398527692,0.19588547834564,0.296473275863081,0.656470433287558,0.841878893306914,0.728543824099637,"LH82/TX779",10,2
"38",38,0.0595897103235956,0.199980423528456,0.303496401062363,0.674824813056348,0.850153491826995,0.713535432240368,"W10004_0389/PHK76",9,2
"39",39,0.061315153990342,0.193246402038359,0.296616604713088,0.670455417621826,0.859794493124247,0.715466646724466,"TX773/TX779",8,2
"40",40,0.0618114181007267,0.17977883614456,0.287302753560865,0.662904772756196,0.879821046534817,0.70200252419349,"W10004_0782/PHK76",7,2
