"","PlotID","BI","GLI","NGRDI","VARI","BGI","NDVI","Pedigree","Exp_row","Exp_range"
"58",58,0.13148323155978,0.0969902013849113,0.231876877153278,0.638319941703694,1.03566821532379,0.542248364010542,"W10004_1140/PHK76",12,3
"59",59,0.114753402799261,0.143242424310296,0.256917217206486,0.609616723615114,0.933977766049487,0.605221279927349,"W10004_1001/PHK76",13,3
"60",60,0.109356753907557,0.152062591836595,0.266459282708701,0.626559418737441,0.922434882509169,0.612919655379534,"W10004_0715/PHK76",14,3
"61",61,0.0987947141053281,0.145337052575311,0.267877899378487,0.659873817810652,0.942435178853563,0.626454439987921,"W10004_0220/PHK76",15,3
"62",62,0.0947456114034375,0.142694709002765,0.253332786584502,0.608422499211377,0.926530337544405,0.634420940703388,"W10004_0008/PHK76",16,3
"63",63,0.107836436902864,0.118656970721737,0.244397409713083,0.637531473716146,0.992725447241237,0.595081835614277,"LH74/PHN82",17,3
"64",64,0.111790869829603,0.125625320953246,0.235091180526198,0.57218104812385,0.954654578129893,0.600055786569729,"W10004_0098/PHK76",18,3
"65",65,0.101031103075446,0.157230372834988,0.266491898950618,0.613587639506862,0.90315870059794,0.632895759210838,"W10004_0032/PHK76",19,3
"66",66,0.0799324756663723,0.221167750579259,0.31654930718875,0.650247869856274,0.794611897652579,0.701323458008342,"W10004_0885/PHK76",20,3
"67",67,0.0985732449588406,0.14168981230817,0.246658486623544,0.577127640566712,0.921492466872844,0.636977265200536,"B14A/H95",21,3
"68",68,0.102470487750403,0.159137969074362,0.2572059335839,0.56777840820853,0.886346874447833,0.643158942324507,"W10004_0093/PHK76",22,3
"69",69,0.0895461110995477,0.159026801215862,0.264229660340789,0.604782516941475,0.893311662662074,0.657477159058397,"W10004_0776/PHK76",23,3
"70",70,0.103827286264943,0.147776529315184,0.271551314259867,0.664482124734279,0.946272540026291,0.61012441973716,"W10004_0828/PHK76",23,4
"71",71,0.0797243055681572,0.216045843867371,0.31083927924817,0.633124490298005,0.794126668026774,0.699200389346148,"W10004_0981/PHK76",22,4
"72",72,0.0808539214076686,0.185423261021507,0.282815691292676,0.607348687578691,0.840841669855042,0.680482841704575,"W10004_0636/PHK76",21,4
"73",73,0.10790246491743,0.100413821047296,0.228772388762198,0.615460041648138,1.02060732937088,0.562976522873905,"LOCAL_CHECK",20,4
"74",74,0.120974002249174,0.120504638299634,0.239551911950404,0.595429662834598,0.979473065118108,0.559431578859993,"W10004_0110/PHK76",19,4
"75",75,0.106394930312758,0.145723466214887,0.261242028152357,0.622182284100663,0.938715305912378,0.594012938787633,"W10004_0733/PHK76",18,4
"76",76,0.105884692267364,0.123482858159264,0.239650892740308,0.592055651076045,0.967111441487267,0.57922512068124,"W10004_0465/PHK76",17,4
"77",77,0.112357274103243,0.103291550513937,0.226137826843661,0.5925247578175,1.01059794162295,0.556906297412543,"W10004_0774/PHK76",16,4
"78",78,0.100039563963551,0.119644766621743,0.239401663097415,0.604757015070088,0.980036586319125,0.593564837956189,"W10004_0047/PHK76",15,4
"79",79,0.0934857965169641,0.140472127985307,0.244289900961849,0.571677526294707,0.919467273333042,0.63238498994147,"W10004_0687/PHK76",14,4
"80",80,0.0901232280624587,0.123738481340186,0.234089341712934,0.579026969832228,0.959156153718484,0.621325097209175,"W10004_0852/PHK76",13,4
"81",81,0.100848145946287,0.11476465342589,0.23139275884732,0.590470320984432,0.98572146261526,0.593738338809208,"W10004_0014/PHK76",12,4
"82",82,0.112890295083601,0.0719650011717916,0.206048955640834,0.59709020559426,1.08284714624641,0.525914937456424,"W10004_0667/PHK76",11,4
"83",83,0.117165358402939,0.119300165940609,0.235196052940858,0.581228549845033,0.978902287748812,0.562294608022626,"W10004_0684/PHK76",10,4
"84",84,0.127826506925026,0.0996885493351629,0.220956035568004,0.581568782059357,1.0217092531958,0.537220945275661,"W10004_0409/PHK76",9,4
"85",85,0.142710043762068,0.0708545064245766,0.193900958276443,0.536732801795613,1.07289188601296,0.485117369168651,"W10004_0291/PHK76",8,4
"86",86,0.143280204864441,0.0529299977231875,0.188905537413096,0.57083822949094,1.12271356006629,0.471524935109717,"W10004_0691/PHK76",7,4
"87",87,0.119307004167269,0.0825915027649031,0.209483083293985,0.578417749749315,1.05336826267011,0.531964690307189,"W10004_0189/PHK76",6,4
"88",88,0.102683674199713,0.104890089396812,0.225295078129362,0.58566574711596,1.00711740654776,0.581223148912192,"W10004_0932/PHK76",5,4
"89",89,0.105486027779839,0.10390040122352,0.225794568598079,0.599958823183992,1.00830539320715,0.58031958249694,"W10004_0231/PHK76",4,4
"90",90,0.105344451663249,0.13639800051797,0.243644375463373,0.577221864405888,0.935239585066224,0.613257308076452,"W10004_0487/PHK76",3,4
"91",91,0.114764501496897,0.112934832153769,0.243359058511137,0.650991630847736,1.01645927496525,0.56601325244554,"W10004_1052/PHK76",2,4
"92",92,0.0953530130047989,0.124108752624486,0.238586719612807,0.588390919871599,0.961785866400011,0.601470041010984,"W10004_1080/PHK76",1,4
"93",93,0.124924067603318,0.083166640191852,0.212620738521405,0.589466659231454,1.05373446009203,0.517154605547321,"W10004_0618/PHK76",1,5
"94",94,0.1217745346672,0.113269921269004,0.242711277221707,0.638869925984166,1.01686626887388,0.545952042629257,"W10004_0851/PHK76",2,5
"95",95,0.12427297246135,0.107101087757075,0.226927540370244,0.581618560574278,1.00213285919292,0.554915923329146,"W10004_0673/PHK76",3,5
"96",96,0.111726025503596,0.111082939827866,0.236899622942996,0.619244967071324,1.00283384444538,0.572726140251191,"W10004_0612/PHK76",4,5
"97",97,0.09319720570741,0.164826662326351,0.266799152759651,0.592333038876697,0.879731087010805,0.649053302405854,"W10004_0171/PHK76",5,5
"98",98,0.075410836482497,0.192256590674852,0.290809720721747,0.621375044057702,0.833021765932351,0.701704654419485,"W10004_0063/PHK76",6,5
"99",99,0.0817711743732259,0.170936377024226,0.275649268817759,0.617402269006339,0.875507299465021,0.676199143479915,"W10004_0101/PHK76",7,5
"100",100,0.0772664226822045,0.1984050274739,0.291964601747447,0.612783825971901,0.823371655278769,0.714447215187255,"W10004_0970/PHK76",8,5
"101",101,0.0805470702640776,0.169367225807058,0.259498750106265,0.561552896240919,0.852778081729467,0.68883675627545,"W10004_0900/PHK76",9,5
"102",102,0.0936246827882913,0.164510228485045,0.281772618829026,0.664441834402938,0.910219434988891,0.650852218849797,"W10004_0971/PHK76",10,5
"103",103,0.0839648743674281,0.190177180864243,0.279390949978684,0.582032873076837,0.82571123055651,0.687264224953419,"W10004_1084/PHK76",11,5
"104",104,0.0934839912187253,0.140109431069041,0.255884414460086,0.627357853634689,0.939329759377173,0.645037040561598,"W10004_0236/PHK76",12,5
