"","PlotID","Python_Height","X","LAI","FieldImageR_Height","BI","GLI","NGRDI","VARI","BGI","NDVI","myIndex.1","myIndex.2","myIndex.3","myIndex.4","myIndex.5","myIndex.6","myIndex.7","myIndex.8","myIndex.9","myIndex.10","myIndex.11","myIndex.12","myIndex.13","myIndex.14","myIndex.15","myIndex.16","Pedigree","Exp_row","Exp_range"
"1",1,0.750030517578125,1,0.544188206160037,0,15537.9518033367,-0.9710372490988,-0.966470404259678,-Inf,83.9277695025355,0.30395264778273,-0.999525202287478,-37024.6316847975,-0.974204490711898,-0.9710372490988,-59355.9023311089,-0.966470404259678,-0.999380914258601,-0.999761670167832,-0.97810794790674,0.428669000038207,0.592839249355737,0.564033649264039,0.0130815975058656,-15878.050461651,0.136313358761574,0.0154193655219323,"Fill/HB",1,1
"2",2,0.813491821289062,2,0.436068111455108,0,16726.1551854973,-0.973017854034321,-0.969240496841784,18.2909455919324,88.7928049575466,0.27614429814483,-0.999586137955252,-40056.7463558192,-0.975731686170432,-0.973017854034321,-64896.1598841219,-0.969240496841784,-0.999469679664233,-0.99979225748342,-0.979614638044125,0.437797137679813,0.60612087209978,0.555407741668228,0.0122967479615458,-17669.5810916448,0.118412378113298,0.0142572086646874,"Fill/HB",2,1
"3",3,0.800218963623053,3,0.426697620429483,0,16060.2526203541,-0.972261137948792,-0.968762846749169,-Inf,84.4869018450754,0.274708134737925,-0.999569342254682,-38512.4922055569,-0.974838393034644,-0.972261137948792,-62727.1573346447,-0.968762846749169,-0.99945872538299,-0.99978382670039,-0.97904066849798,0.443290192341852,0.613619825444586,0.549723363824141,0.0127529093736576,-17223.3322350627,0.107187422187046,0.0145864489403374,"Fill/HB",3,1
"4",4,0.782913208007812,4,0.40647732549141,0,20118.0007151902,-0.977257017252639,-0.97506615267012,-Inf,103.158253210099,0.196589961228865,-0.999704955002366,-48547.483716891,-0.978940555727046,-0.977257017252639,-80145.4645245332,-0.97506615267012,-0.999644158506377,-0.99985189898158,-0.982835622262515,0.457767063108268,0.635152429105747,0.536511477645903,0.0106525131642546,-22497.1291483159,0.0792269612383407,0.0118001633321753,"Fill/HB",4,1
"5",5,0.678789978027339,5,0.364712710388857,0,19157.1512210239,-0.976258979912824,-0.973767276206627,-Inf,98.7870833549279,0.193385368189753,-0.999680419433558,-46164.0797063142,-0.978143464094703,-0.976258979912824,-75985.8025374449,-0.973767276206627,-0.999609771519897,-0.999839583088217,-0.982078408810744,0.454048087826485,0.629693459227327,0.539978048443763,0.0110597623737754,-21228.3734508076,0.0864741115998918,0.0123629322008,"Fill/HB",5,1
"6",6,0.609771728515625,6,0.453757449113846,0,20658.2140857212,-0.976944002798297,-0.974592624967672,-Inf,105.654962476604,0.157668711028188,-0.999684029698376,-49879.4061604148,-0.978747047448907,-0.976944002798297,-82450.7531808478,-0.974592624967672,-0.999613482555551,-0.999841395299577,-0.982593610532777,0.457017431164018,0.634022273807218,0.537180439013574,0.0107559132472212,-23192.3907288808,0.0806819032695939,0.0119959101339638,"Fill/HB",6,1
"7",7,1.07185363769531,7,0.650777683200495,0,14780.8481059029,-0.969413066859744,-0.964763589861218,-Inf,79.3532697974502,0.333385469695064,-0.999465861954929,-35279.8755186722,-0.972736728385459,-0.969413066859744,-56801.5839271236,-0.964763589861218,-0.999304241455613,-0.999731883647964,-0.976868695463281,0.431439178190315,0.596304414620868,0.560850386964112,0.0138372797563768,-15299.7917203224,0.13039796061132,0.0162664844449369,"W10004_0290/PHK76",7,1
"8",8,1.15065002441406,8,0.61387556105866,0,15677.9150426425,-0.971569544524734,-0.967219554095835,-Inf,84.3328633241075,0.317964408260861,-0.999546412170639,-37480.6489371164,-0.974733182683062,-0.971569544524734,-60305.725242373,-0.967219554095835,-0.999407723257546,-0.999772316697419,-0.9785144096536,0.430880342824903,0.596070616506064,0.561957793726297,0.0128071448901584,-16230.768789469,0.13200953469674,0.0150989803506868,"W10004_0498/PHK76",8,1
"9",9,1.14788818359375,9,0.574584994002244,0,15301.5096920589,-0.970662002399383,-0.966676025759081,-Inf,81.4777763256031,0.306197097580374,-0.999514388257515,-36640.1680590117,-0.973629241007966,-0.970662002399383,-59307.8371933878,-0.966676025759081,-0.999381305347022,-0.99975624194887,-0.977821908541463,0.437521830271273,0.605137865226936,0.555085472575881,0.0133757698078054,-16118.3350959829,0.118430225711769,0.0154950058012187,"Fill/HB",9,1
"10",10,1.2275390625,10,0.7125,0,15586.9465965456,-0.970909268676055,-0.966300393433703,5.05008475885859,84.1490857690107,0.336664517668015,-0.999517766620496,-37211.5489527521,-0.974195109320951,-0.970909268676055,-59725.4938670681,-0.966300393433703,-0.999365235107486,-0.999757937754602,-0.978009386767935,0.428821776185961,0.593020282249657,0.563848019403351,0.0130862568082729,-16008.5320816543,0.13600119778296,0.0154912670774633,"Fill/HB",10,1
"11",11,1.50160354614258,11,0.868064690861255,0,19333.0206225147,-0.975052648004709,-0.971669970231527,-Inf,101.724639097955,0.261513139789322,-0.999635836943133,-46517.3513670479,-0.977598012349492,-0.975052648004709,-75784.947122945,-0.971669970231527,-0.999534366377789,-0.999817204426357,-0.981158231418321,0.44060693765447,0.610569123189032,0.553112472818303,0.0113430811004895,-20832.5683970693,0.113244806526207,0.0131466883754436,"W10004_0884/PHK76",11,1
"12",12,1.19903747558592,12,0.681176242987038,0,17154.5489622608,-0.972701854103758,-0.96913216181353,-Inf,90.3230594746471,0.238452763745579,-0.999567203798162,-41207.2056487999,-0.975378421949944,-0.972701854103758,-67110.9613246706,-0.96913216181353,-0.999451157431151,-0.999782753279077,-0.979370627621266,0.441631009496905,0.611406955836089,0.551492533043517,0.012481325904228,-18429.8254827648,0.110640407036986,0.0143807313274859,"W10004_0037/PHK76",12,1
"13",13,1.78961181640625,13,0.83522309508146,0,15940.9578294977,-0.971989221163508,-0.968224724347631,9.68058953446946,84.6397857674588,0.306944148777388,-0.999562401678084,-38214.8070379656,-0.974816406509049,-0.971989221163508,-61958.1333721347,-0.968224724347631,-0.999443702749028,-0.999780342803117,-0.978834259416219,0.438491605575494,0.606833000944431,0.554453147563246,0.0127636208063158,-16886.6616672636,0.116783924656477,0.0147711701933744,"Fill/HB",13,1
"14",14,1.09324645996094,14,0.782679359182726,0,17001.5683884306,-0.972777568288173,-0.968533292499216,-Inf,90.6291804292695,0.296068001079626,-0.999570360306687,-40712.2848129788,-0.975791841359478,-0.972777568288173,-65813.8661379,-0.968533292499216,-0.999432160814095,-0.999784337722572,-0.979429429279134,0.433159180017956,0.599565995118183,0.559983963075089,0.0122675556700797,-17856.8438035151,0.127720396667063,0.0144727743697262,"Fill/HB",14,1
"15",15,1.04574584960938,15,0.740143161153028,0,15606.0501919611,-0.971196351455576,-0.966412208445698,6.8139709218426,84.5376409993128,0.333148377541739,-0.999528880829357,-37206.2407267222,-0.974526023872152,-0.971196351455576,-59574.0399073785,-0.966412208445698,-0.99937359426052,-0.999763516651599,-0.978228945421418,0.426391653413785,0.589691296586439,0.566351328393354,0.0129155653792257,-15904.1422718974,0.140956308177325,0.0153791138958865,"W10004_0065/PHK76",15,1
"16",16,0.975128173828125,16,0.739766308132787,0,20420.5167421245,-0.977493547425762,-0.974774540785233,9.9185039125817,106.974727571161,0.209069958602218,-0.999710667208891,-49205.3738510514,-0.979572331727355,-0.977493547425762,-80361.9194996189,-0.974774540785233,-0.99963844148264,-0.999854766285247,-0.98301536389099,0.446128080321873,0.618917767080952,0.548210374308458,0.0103296770407744,-22181.8183204053,0.102680315979663,0.0117762513052578,"W10004_0103/PHK76",16,1
"17",17,0.623291015625,17,0.732536088857928,0,24027.7931456716,-0.980344013929984,-0.978297346660335,16.1698565496404,123.698418878232,0.133436639242408,-0.999772076408489,-58104.1329651269,-0.98193703468196,-0.980344013929984,-95748.5835767756,-0.978297346660335,-0.999720786240906,-0.999885591295242,-0.985175193709806,0.455336087810789,0.632528920838373,0.53972231009248,0.00912470410088447,-26816.0361511777,0.0848404679539049,0.0102102015785625,"Fill/HB",17,1
"18",18,0.642181396484375,18,0.71090304108953,0,20872.4745878556,-0.977642865094609,-0.974906997306869,16.9197619405193,108.63502831116,0.212201575202163,-0.999711235479136,-50306.6118616145,-0.979686488236751,-0.977642865094609,-82412.1633607908,-0.974906997306869,-0.999637079603289,-0.999855051534625,-0.983127726327928,0.447590214935835,0.621002209686144,0.546785693840141,0.0102722327729854,-22859.6796422688,0.0997887375706387,0.0117075260243864,"Fill/HB",18,1
